submission_pk,User,b'Score',b'NDS',b'mIOU',b'mAP',b'trans_err',b'scale_err',b'orient_err'
195554,terrywayne,0.70 (1),0.73 (3),0.68 (3),0.67 (3),0.32 (1),0.20 (1),0.11 (1),
195863,shxu_cold,0.17 (2),0.11 (2),0.22 (2),0.02 (2),1.03 (3),0.38 (2),1.28 (3),
195533,ZSYNOTZSH,0.00 (3),0.00 (1),0.00 (1),0.00 (1),1.00 (2),1.00 (3),1.00 (2),
195534,lauyikfung,0.00 (3),0.00 (1),0.00 (1),0.00 (1),1.00 (2),1.00 (3),1.00 (2),
