submission_pk,User,b'Answer F1',b'Evidence F1',b'Overall F1'
161914,Two,91.89093 (4),90.76024 (1),83.73154 (1),
161318,jerome,94.86694 (2),85.58790 (2),81.38900 (2),
162204,Smile,96.59644 (1),81.95546 (4),79.26139 (3),
162533,yinpei_su,94.57919 (3),81.18179 (5),76.89272 (4),
160573,Supreme,87.35584 (6),84.15848 (3),75.02840 (5),
161990,yunxiaomr,88.19959 (5),80.91901 (6),72.25283 (6),
148058,yucheng-zeng,81.48322 (7),78.38410 (7),64.82126 (7),
162347,zgjiangtoby,75.06074 (8),74.63994 (8),58.59530 (8),
