submission_pk,User,b'EER'
92094,HCCL_AS,13.06 (1),
87816,ADD_Challenge,29.00 (2),
199490,Foza,29.73 (3),
223408,HiMia,33.76 (4),
165811,zhu121,35.18 (5),
110326,ADD_Li,41.14 (6),
235682,XiaohuiLiu,47.69 (7),
151402,lambday,54.28 (8),
453209,Kai_Li,54.55 (9),
