submission_pk,User,b'MOTA',b'airplane',b'car',b'ship',b'train'
104837,xljhh,0.7036 (1),0.9467 (1),0.2147 (3),0.6530 (1),1.0000 (1),
104270,xixiha,0.6994 (2),0.9333 (4),0.2374 (1),0.6309 (2),0.9960 (2),
103843,whu_cccccsd,0.6994 (2),0.9333 (4),0.2374 (1),0.6309 (2),0.9960 (2),
104220,laowang,0.6931 (3),0.9467 (1),0.2097 (5),0.6162 (3),1.0000 (1),
104828,AHU_MMIC,0.6756 (4),0.9456 (2),0.1558 (12),0.6008 (4),1.0000 (1),
102431,sq118666,0.6756 (4),0.9456 (2),0.1558 (12),0.6008 (4),1.0000 (1),
101824,mmic_666,0.6748 (5),0.9456 (2),0.1529 (13),0.6008 (4),1.0000 (1),
104811,pingguo,0.6714 (6),0.9361 (3),0.1678 (9),0.5818 (6),1.0000 (1),
104819,juzi,0.6701 (7),0.9361 (3),0.1687 (8),0.5756 (7),1.0000 (1),
104666,zsd,0.6599 (8),0.8917 (6),0.2010 (6),0.5510 (8),0.9960 (2),
104611,root,0.5830 (9),0.8917 (6),0.2010 (6),0.2434 (13),0.9960 (2),
104817,tkk,0.5356 (10),0.6233 (12),0.1256 (21),0.4055 (10),0.9880 (4),
104683,lcy,0.4811 (11),0.4056 (14),0.1256 (21),0.4055 (10),0.9880 (4),
104539,QingRuXu,0.4619 (12),0.6456 (10),0.1581 (11),0.1240 (14),0.9200 (5),
104755,xilei,0.4560 (13),0.6311 (11),0.1271 (20),0.0777 (16),0.9880 (4),
104506,jwchen,0.4473 (14),0.7944 (7),-0.0177 (26),0.0204 (18),0.9920 (3),
101697,HideOnBush,0.4443 (15),0.2667 (19),0.0000 (24),0.5104 (9),1.0000 (1),
104395,LY_ZXF,0.4265 (16),0.3361 (18),0.1005 (22),0.2695 (11),1.0000 (1),
104389,You.Know.Who.,0.4221 (17),0.3361 (18),0.1005 (22),0.2518 (12),1.0000 (1),
104392,liu8216,0.4221 (17),0.3361 (18),0.1005 (22),0.2518 (12),1.0000 (1),
104476,chenjw,0.4176 (18),0.6756 (9),-0.0177 (26),0.0204 (18),0.9920 (3),
101914,huanmx,0.4159 (19),0.6783 (8),0.1723 (7),-0.1870 (26),1.0000 (1),
104835,DonDominic,0.4158 (20),0.3661 (17),0.2141 (4),0.0829 (15),1.0000 (1),
100139,awecz,0.3821 (21),0.5467 (13),0.1465 (18),-0.1647 (25),1.0000 (1),
102031,kpp,0.3813 (22),0.8989 (5),0.1466 (17),-0.2125 (27),0.6920 (6),
101214,electroNic,0.3469 (23),0.3794 (15),-0.0051 (25),0.0132 (19),1.0000 (1),
100168,yhn,0.2880 (24),0.2178 (21),-0.0228 (27),-0.0431 (21),1.0000 (1),
104577,mihoutao,0.2182 (25),-0.8661 (27),0.1507 (15),0.5882 (5),1.0000 (1),
100195,Sinsauzero,0.1686 (26),0.0206 (24),-0.0379 (28),0.0396 (17),0.6520 (7),
104592,renren,0.0629 (27),-1.4978 (28),0.1610 (10),0.5882 (5),1.0000 (1),
104703,pppp_66,0.0589 (28),0.0000 (25),0.2358 (2),0.0000 (20),0.0000 (8),
104838,wangdamiao,0.0377 (29),0.3733 (16),-0.1062 (29),-0.1164 (24),0.0000 (8),
105011,HakkiMotorcu,0.0374 (30),0.0000 (25),0.1497 (16),0.0000 (20),0.0000 (8),
96400,Biden,0.0222 (31),0.0622 (23),0.1283 (19),-0.0818 (23),-0.0200 (9),
104779,wangxinxin,-0.0054 (32),0.2267 (20),0.0162 (23),-0.2647 (28),0.0000 (8),
104745,yuancao,-0.0972 (33),0.1389 (22),-0.1525 (30),-0.3751 (29),0.0000 (8),
68131,zf020114,-0.2391 (34),-0.0478 (26),-0.8522 (31),-0.0563 (22),0.0000 (8),
104475,xigua,-0.2474 (35),-2.7306 (29),0.1527 (14),0.5882 (5),1.0000 (1),
