submission_pk,User,b'PSNR(RGB)',b'PSNR(Y)',b'SSIM(RGB)',b'SSIM(Y)'
362864,KerrChen,24.1926 (1),25.7552 (1),0.7616 (1),0.7758 (1),
346656,HuanZheng,24.1108 (2),25.6780 (2),0.7566 (3),0.7707 (3),
359496,zhongbao97,24.0190 (3),25.5870 (3),0.7538 (5),0.7678 (5),
360126,ArcticFall,24.0095 (4),25.5706 (4),0.7554 (4),0.7702 (4),
358400,CMM,23.9843 (5),25.5293 (5),0.7506 (7),0.7636 (7),
344896,Bob072,23.9595 (6),25.4955 (6),0.7599 (2),0.7740 (2),
346666,ferry,23.9139 (7),25.4632 (7),0.7512 (6),0.7655 (6),
356835,Wizard_007,23.7300 (8),25.2992 (8),0.7399 (8),0.7555 (8),
358777,BoxiongWu,23.6233 (9),25.1953 (9),0.7362 (9),0.7518 (9),
360327,INF,23.6078 (10),25.1950 (10),0.7291 (13),0.7479 (11),
343638,Excelsior,23.5068 (11),25.0671 (12),0.7301 (11),0.7455 (13),
320424,Wedream,23.5052 (12),25.0682 (11),0.7300 (12),0.7475 (12),
321315,JintaoZeng,23.4958 (13),25.0568 (13),0.7324 (10),0.7492 (10),
344226,LongClaw,22.7630 (14),24.4594 (14),0.6820 (15),0.7146 (15),
346718,yeehengwang,22.6587 (15),24.3580 (15),0.6782 (16),0.7048 (16),
355716,immortal,22.4598 (16),24.0437 (16),0.6936 (14),0.7159 (14),
341047,TZ,21.8358 (17),23.3865 (17),0.6287 (17),0.6443 (17),
325132,JingxiangChen1,21.8358 (17),23.3865 (17),0.6287 (17),0.6443 (17),
316429,ir-sde,21.4050 (18),23.0627 (18),0.6001 (18),0.6318 (18),
349539,arui,17.9631 (19),19.3780 (19),0.4759 (19),0.5056 (19),
