submission_pk,User,b'Recall@1',b'Recall@5',b'Recall@10'
478285,RezaZhu,98.9400 (1),99.8000 (1),99.8400 (1),
478247,Skyy93,95.7100 (2),98.6900 (2),98.9100 (2),
478106,lzf,94.4800 (3),97.8400 (3),98.1500 (3),
478515,lihaoran,92.7700 (4),96.3700 (4),97.0300 (4),
478566,TuringTest,90.0300 (5),93.9100 (6),94.6400 (7),
478651,huhuhuhu,90.0200 (6),94.1000 (5),94.8300 (6),
475011,zhangbing,85.7600 (7),93.8700 (7),95.0900 (5),
478655,YZH66,85.3500 (8),91.8100 (9),93.0200 (9),
478536,L-N,85.1900 (9),92.0400 (8),93.4500 (8),
471525,CodaLaber,83.5700 (10),90.3500 (10),91.9100 (10),
472254,TY123,79.8600 (11),87.8500 (12),89.5800 (12),
468321,tianzhan,78.2900 (12),89.1500 (11),91.2100 (11),
471291,dragon_7566,75.0400 (13),85.3900 (13),87.5000 (13),
470772,Zxx_Oo0,73.9600 (14),84.7600 (14),86.7700 (14),
470907,qinchuanchuan,68.7300 (15),81.3700 (15),83.9800 (15),
475644,mrk1992,64.8600 (16),76.9900 (16),80.4400 (16),
408080,ZhedongZheng,64.8600 (16),76.9900 (16),80.4400 (16),
472907,zgt,56.4000 (17),72.6800 (17),76.6500 (17),
475588,img_rjc,48.4300 (18),58.3400 (19),62.1400 (19),
475804,lueluelue,46.0500 (19),59.6200 (18),63.5800 (18),
472927,IMAG,35.1200 (20),44.6400 (20),47.4000 (20),
471317,LOTVS_2020,1.1400 (21),2.6400 (21),3.7200 (21),
423299,pakapro,0.1000 (22),0.3000 (22),0.4400 (22),
