submission_pk,User,b'Overall',b'J_seen',b'J_unseen',b'F_seen',b'F_unseen'
237829,joker,0.865 (1),0.851 (2),0.813 (1),0.896 (2),0.898 (1),
471690,lzl2040,0.859 (2),0.847 (3),0.805 (2),0.892 (3),0.890 (2),
228156,daniel34344,0.857 (3),0.853 (1),0.798 (3),0.898 (1),0.879 (3),
215036,hylin,0.847 (4),0.836 (4),0.795 (4),0.879 (4),0.878 (4),
226839,Carolyn,0.840 (5),0.827 (5),0.791 (5),0.872 (5),0.870 (6),
321115,tangji1234,0.836 (6),0.821 (7),0.786 (7),0.866 (7),0.871 (5),
385194,zhouweicsu,0.833 (7),0.818 (8),0.790 (6),0.859 (8),0.866 (7),
196952,yanpzhao,0.827 (8),0.824 (6),0.765 (11),0.872 (6),0.848 (10),
245497,dyh127,0.826 (9),0.812 (10),0.781 (8),0.854 (13),0.859 (8),
248252,ankit.agrawal,0.825 (10),0.814 (9),0.777 (9),0.855 (12),0.853 (9),
250684,JTDEV,0.820 (11),0.810 (12),0.768 (10),0.856 (11),0.846 (11),
449739,HuiSu,0.818 (12),0.810 (13),0.763 (12),0.857 (9),0.844 (12),
410404,igor185,0.815 (13),0.812 (11),0.757 (14),0.856 (10),0.837 (13),
277162,zxy9809,0.804 (14),0.791 (14),0.757 (13),0.833 (14),0.835 (14),
375307,virialdi,0.730 (15),0.742 (17),0.664 (16),0.777 (16),0.735 (16),
247007,PGSmall,0.716 (16),0.695 (20),0.682 (15),0.712 (20),0.774 (15),
276818,AA250250,0.714 (17),0.777 (15),0.598 (19),0.817 (15),0.662 (20),
490285,fiskrt,0.712 (18),0.741 (18),0.633 (17),0.768 (18),0.708 (17),
475314,xjtuwh,0.699 (19),0.742 (16),0.616 (18),0.774 (17),0.662 (19),
319983,iez,0.686 (20),0.722 (19),0.594 (20),0.757 (19),0.670 (18),
319993,iez_vision2,0.612 (21),0.669 (21),0.514 (22),0.694 (21),0.572 (21),
305902,mkg1204,0.593 (22),0.639 (22),0.517 (21),0.648 (22),0.567 (22),
418052,zhaowangbo,0.484 (23),0.560 (23),0.373 (23),0.590 (23),0.411 (23),
319977,idilesenzulfikar,0.467 (24),0.545 (24),0.357 (25),0.562 (24),0.406 (25),
318098,iez_vision,0.464 (25),0.533 (25),0.367 (24),0.549 (25),0.408 (24),
440239,xueyanzou,0.415 (26),0.471 (27),0.315 (26),0.519 (26),0.357 (26),
313666,PinxueGuo,0.391 (27),0.480 (26),0.281 (27),0.495 (27),0.309 (27),
203530,hy523,0.236 (28),0.304 (28),0.212 (28),0.224 (28),0.204 (28),
188709,yfan,0.236 (28),0.304 (28),0.212 (28),0.224 (28),0.204 (28),
