submission_pk,User,b'Execution Accuracy',b'Program Accuracy'
468503,dzrwang,80.80 (1),78.76 (1),
249109,anonymous2,78.76 (2),77.19 (2),
227211,zhiyuchen,68.90 (3),68.24 (3),
