submission_pk,User,b'iou',b'5cm precision',b'10cm precision',b'20cm precision',b'5cm recall',b'10cm recall',b'20cm recall',b'warping error',b'betti error'
137923,alvin98,0.657 (1),0.052 (1),0.203 (1),0.335 (1),0.015 (3),0.065 (3),0.114 (3),0.249 (3),1.076 (4),
137610,ekince,0.517 (2),0.020 (2),0.085 (2),0.146 (2),0.048 (1),0.220 (1),0.375 (1),0.188 (4),1.140 (2),
137994,yijiewu0710,0.374 (3),0.016 (3),0.068 (3),0.132 (3),0.032 (2),0.129 (2),0.253 (2),0.258 (2),1.128 (3),
137970,paulliu,0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.731 (1),1.646 (1),
