submission_pk,User,b'All-Masked (MFR)',b'Wild-Masked (MFR)',b'Controlled-Masked (MFR)',b'All (SFR)',b'Wild (SFR)',b'Controlled (SFR)',b'Detection Time',b'Recognition Time',b'Total Time'
182270,cc0011,0.0953 (1),0.1149 (1),0.0631 (1),0.0137 (1),0.0225 (1),0.0017 (1),59.45 (1),1070.10 (7),1129.55 (7),
28946,better-one,0.1077 (2),0.1331 (2),0.0681 (2),0.0242 (2),0.0393 (2),0.0026 (2),142.00 (7),300.00 (3),442.00 (4),
291130,inno,0.1241 (3),0.1502 (3),0.0816 (3),0.0272 (3),0.0426 (3),0.0028 (3),108.65 (4),305.45 (4),416.15 (2),
52315,zhangge00hou,0.1852 (4),0.2173 (4),0.1270 (4),0.0521 (4),0.0780 (4),0.0048 (4),141.45 (6),295.20 (2),436.65 (3),
84830,xavidj,0.2410 (5),0.2840 (5),0.1603 (5),0.0882 (5),0.1292 (5),0.0095 (5),123.00 (5),379.25 (5),502.25 (5),
84440,chys1113,0.2410 (5),0.2840 (5),0.1603 (5),0.0882 (5),0.1292 (5),0.0095 (5),123.00 (5),762.60 (6),885.60 (6),
128242,musicsxf,0.4627 (6),0.5492 (6),0.2510 (6),0.3746 (6),0.4730 (6),0.1215 (6),102.50 (2),36.90 (1),139.40 (1),
125049,wzy2022,1.0000 (7),1.0000 (7),1.0000 (7),1.0000 (7),1.0000 (7),1.0000 (7),104.55 (3),2429.25 (8),2533.80 (8),
48655,Liu_xiang,1.0000 (7),1.0000 (7),1.0000 (7),1.0000 (7),1.0000 (7),1.0000 (7),147.60 (8),12744.85 (9),12892.45 (9),
