submission_pk,User,b'PLCC',b'SROCC',b'Diff_Sim_AUC',b'Better_Worse_CC'
384600,orangeee,0.6726 (1),0.6756 (1),0.7414 (1),0.9098 (2),
382741,philox12358,0.6476 (2),0.6368 (2),0.7147 (2),0.9155 (1),
375667,Qingyang_Zhou,0.5050 (3),0.4529 (5),0.6396 (4),0.7696 (4),
381638,omessai,0.5005 (4),0.5214 (4),0.5888 (5),0.7439 (5),
385351,rWatanabe,0.4982 (5),0.5229 (3),0.6473 (3),0.8389 (3),
376253,zhang_yujie,0.3897 (6),0.4246 (6),0.5583 (6),0.7408 (6),
345511,concombr,0.0621 (7),0.1248 (7),0.5374 (7),0.6319 (7),
