submission_pk,User,b'SCORE',b'RMAE',b'EWMAE'
330053,mayunchao_megvii,0.88 (2),0.02 (2),0.13 (1),
331710,zhangkang,0.88 (3),0.02 (3),0.13 (2),
331707,yuyi1,0.88 (4),0.02 (3),0.13 (2),
326561,hyk,0.88 (6),0.02 (4),0.13 (2),
332393,Liyongchao,0.88 (1),0.02 (1),0.14 (3),
331206,amrit_muduli,0.87 (7),0.03 (5),0.14 (4),
331102,MeiyaChen,0.88 (2),0.02 (1),0.14 (4),
333395,USTC-IAT-United,0.87 (8),0.03 (6),0.14 (5),
333282,Try_one_Try,0.87 (8),0.03 (6),0.14 (5),
332888,trungnt13,0.86 (9),0.03 (7),0.14 (5),
330150,ArthurWu,0.86 (10),0.03 (8),0.14 (6),
328555,wangyu,0.88 (5),0.02 (2),0.14 (7),
331704,TejasAnvekar,0.68 (11),0.12 (9),0.17 (8),
328480,amruta,0.52 (12),0.20 (10),0.20 (9),
