submission_pk,User,b'f1',b'Precision',b'Recall'
447946,danielvallejo237,0.9264 (1),0.9302 (2),0.9226 (5),
445824,EstebanPonce,0.9203 (2),0.9006 (8),0.9409 (1),
444390,Jorge,0.9186 (3),0.9067 (5),0.9308 (3),
435530,agmegias,0.9165 (4),0.8951 (11),0.9389 (2),
437821,csuazob,0.9100 (5),0.8939 (12),0.9267 (4),
447320,Arnold,0.9069 (6),0.9014 (7),0.9124 (6),
446645,rkcd,0.8991 (7),0.9000 (9),0.8982 (7),
447219,VickBat,0.8969 (8),0.9081 (4),0.8859 (8),
433106,HoracioJarquin,0.8948 (9),0.9456 (1),0.8493 (12),
442510,mgraffg,0.8903 (10),0.9053 (6),0.8758 (9),
444730,escom,0.8822 (11),0.8952 (10),0.8697 (11),
438526,BrauuHdzm,0.8822 (11),0.8952 (10),0.8697 (11),
447906,Thisjesusalan,0.8693 (12),0.8649 (14),0.8737 (10),
443997,d121201,0.8290 (13),0.9183 (3),0.7556 (14),
442957,PabloGP,0.8251 (14),0.8782 (13),0.7780 (13),
443559,pakapro,0.4639 (15),0.4398 (15),0.4908 (15),
