submission_pk,User,b'Execution Accuracy',b'Program Accuracy'
220069,anonymous2,72.47 (1),68.01 (1),
135922,Jingo,71.93 (2),67.03 (2),
136107,wbin,69.97 (3),65.40 (3),
135809,eisenjulian,69.10 (4),64.96 (4),
135984,qinhui99,68.99 (5),64.53 (5),
135493,lvzhengwei2022,68.66 (6),64.20 (6),
467278,dzrwang,68.34 (7),61.70 (7),
101226,zhiyuchen,59.30 (8),54.95 (9),
133781,guanyuhang,58.87 (9),55.39 (8),
441601,Kuroxiro,42.76 (10),34.82 (10),
