submission_pk,User,b'SCS',b'BC',b'SC',b'mIoU',b'Imp. Surface',b'Agriculture',b'Forest',b'Wetlands',b'Soil',b'Water'
459261,elliot.vincent,17.500 (1),12.200 (1),22.700 (1),32.000 (9),14.600 (9),0.200 (9),79.800 (1),0.000 (5),41.300 (3),56.500 (3),
80119,gongpanpan,17.000 (2),11.900 (2),22.200 (2),35.600 (4),31.600 (4),12.000 (4),77.800 (3),0.000 (5),41.800 (2),50.600 (7),
219815,hsguo,16.900 (3),11.700 (3),22.000 (3),36.300 (3),29.900 (5),8.100 (6),78.300 (2),0.700 (4),45.300 (1),55.200 (5),
302183,sblack,15.800 (4),10.800 (5),20.900 (4),32.100 (8),20.700 (8),4.200 (8),77.700 (4),0.000 (5),40.200 (4),50.100 (8),
482956,ionut.motoi,15.300 (5),10.100 (6),20.500 (5),32.200 (7),33.500 (2),7.400 (7),60.000 (9),10.100 (1),26.600 (9),55.700 (4),
443522,June,15.000 (6),11.300 (4),18.700 (6),34.300 (5),26.200 (6),12.800 (3),74.400 (5),0.900 (3),40.000 (5),51.300 (6),
201986,jxt,14.800 (7),10.800 (5),18.700 (6),36.600 (2),32.800 (3),10.800 (5),73.100 (7),8.500 (2),37.500 (6),56.800 (2),
464761,kaihong1015,13.000 (8),9.600 (7),16.500 (7),37.800 (1),35.200 (1),26.700 (2),73.900 (6),0.000 (5),30.300 (8),60.800 (1),
426824,lhienga,11.200 (9),8.200 (8),14.200 (8),32.800 (6),25.600 (7),26.900 (1),63.700 (8),0.000 (5),30.400 (7),49.900 (9),
