submission_pk,User,b'PSNR',b'SSIM',b'LPIPS',b'KLD'
135671,JHC-SJTU,38.22610 (1),0.98499 (1),0.03351 (1),0.00454 (1),
154620,jj96,36.65052 (2),0.95553 (5),0.12137 (3),0.00628 (3),
147067,NPU_LAST,36.51591 (3),0.95717 (3),0.12572 (4),0.00917 (4),
144717,ohLCya,36.08480 (4),0.95628 (4),0.12067 (2),0.01225 (7),
148249,shc15522,35.93505 (5),0.95923 (2),0.13067 (6),0.00606 (2),
136729,Zhenxuan_Fang,35.77998 (6),0.95217 (7),0.13743 (9),0.02558 (12),
151103,fanzhihao,35.71032 (7),0.95316 (6),0.13502 (8),0.07046 (14),
151650,yushui,35.60500 (8),0.95212 (8),0.13872 (11),0.04198 (13),
142211,m-wq,35.58129 (9),0.95074 (11),0.13001 (5),0.01553 (10),
151673,jiangchengzhi,35.51710 (10),0.95173 (10),0.13834 (10),0.01549 (9),
145650,majiji,35.48105 (11),0.95196 (9),0.14175 (13),0.01862 (11),
142151,wzh123456,35.32876 (12),0.95042 (12),0.14075 (12),0.01103 (5),
142139,wuqi02,35.26211 (13),0.94804 (13),0.13099 (7),0.01336 (8),
135987,jj962,34.18192 (14),0.94609 (14),0.15356 (14),0.01148 (6),
146328,report_bug,29.26689 (15),0.68244 (18),0.45050 (17),0.38468 (18),
146343,YILA,29.26689 (16),0.68244 (17),0.45050 (18),0.38468 (18),
146360,pfp_version,28.78141 (17),0.68039 (19),0.45576 (19),0.39146 (19),
122701,jnjaby,27.68494 (18),0.66728 (20),0.46543 (20),0.22489 (16),
137443,Null,25.76237 (19),0.92096 (15),0.28936 (15),0.07131 (15),
146657,Lin_Kejun,24.62529 (20),0.62998 (21),0.55370 (21),0.39611 (20),
135099,QianNing,23.72728 (21),0.82602 (16),0.33138 (16),0.24479 (17),
