submission_pk,User,b'F1',b'P',b'R'
446168,shantanudev,- (-),,,
412002,manpriyadua,- (-),,,
219561,J_INAOE_NLP,- (-),,,
submission_pk,User,b'F1',b'P',b'R'
446168,shantanudev,- (-),,,
412002,manpriyadua,- (-),,,
219561,J_INAOE_NLP,- (-),,,
submission_pk,User,b'F1',b'P',b'R'
412002,manpriyadua,0.80 (1),0.6680 (2),0.9870 (1),
219561,J_INAOE_NLP,0.72 (2),0.7400 (1),0.7000 (3),
446168,shantanudev,0.24 (3),0.1410 (3),0.8990 (2),
