submission_pk,User,b'< Rank >',b'MCC',b'F1 BAD',b'F1 OK',b'Disk Footprint (Bytes)',b'Model Params'
166888,IST-Unbabel,2.00 (2),0.3610 (1),0.4941 (1),0.8301 (3),2260744555.0 (2),565139485.0 (3),
168330,JeonghyeokPark,1.40 (1),0.3431 (2),0.4509 (2),0.8581 (1),2241394304.0 (1),560301035.0 (1),
166660,OrganizersBaselines,2.80 (3),0.2569 (3),0.3784 (4),0.8375 (2),2280011066.0 (3),564527011.0 (2),
167491,Abulice,3.80 (4),0.2181 (4),0.4037 (3),0.6284 (4),2336352552.0 (4),612368384.0 (4),
