submission_pk,User,b'EER'
412821,SSS-1,13.05 (1),
421298,Team_Spirit,15.82 (2),
421354,ikwak2,21.26 (3),
420974,Jiantao_Zhang,21.38 (4),
421247,smiip,21.75 (5),
420613,xieyuankun,22.59 (6),
421169,tianye,24.81 (7),
418443,XIE,24.94 (8),
421399,Intema,25.50 (9),
419705,ZXM,25.81 (10),
421389,LiuZefeng,28.46 (11),
421377,XuYuxiong,28.46 (11),
420924,yejiahong,29.78 (12),
420863,Rachel_Wang,29.93 (13),
419075,jjaylu,30.08 (14),
420511,Kairo,30.50 (15),
416449,lyxx,33.55 (16),
414954,BokingChen,34.20 (17),
419555,yaoxunji,34.43 (18),
457607,Kai_Li,35.65 (19),
453470,aabbcc,35.96 (20),
411584,gongyu,37.76 (21),
416823,abc22142598,38.80 (22),
417979,realguard,43.76 (23),
472017,Fanshitong-1,45.04 (24),
418706,Zhang_Jinhua,45.24 (25),
414132,WLi,51.48 (26),
419514,add-li,51.90 (27),
411051,zhoulongpu2,53.62 (28),
410353,Pseudo-Train,58.04 (29),
