submission_pk,User,b'final score (%)',b'area score (%)',b'shape score (%)',b'color score (%)'
159690,BCom-Net-Janaldo,88.65 (1),96.75 (3),89.75 (2),87.54 (1),
113785,Janaldo,88.43 (2),96.76 (2),89.76 (1),87.10 (2),
160598,BCom-Net,84.73 (3),96.68 (4),85.75 (5),83.72 (3),
161571,Raywitt,84.68 (4),93.96 (7),85.91 (4),83.45 (4),
118262,rayee,84.68 (5),96.26 (5),86.13 (3),83.23 (5),
114157,bosmallear,82.56 (6),95.58 (6),83.92 (6),81.21 (6),
113169,yimjae0,74.42 (7),97.64 (1),76.65 (7),72.18 (7),
113956,lower_bound,26.83 (8),33.79 (9),26.26 (8),27.40 (8),
115233,Sami,3.37 (9),46.84 (8),4.56 (9),2.18 (9),
