submission_pk,User,b'PSNR',b'SSIM',b'LPIPS',b'KLD'
332173,ChongQB,38.55 (2),0.98 (1),0.07 (2),0.06 (1),
331686,fanzhihao,38.72 (1),0.97 (2),0.08 (4),0.07 (2),
331392,Legless_bird,37.78 (4),0.97 (3),0.09 (6),0.07 (3),
331782,CD_luo,38.00 (3),0.96 (5),0.07 (1),0.07 (4),
330953,blindbox,37.71 (5),0.96 (6),0.08 (3),0.07 (5),
329894,Senta,36.25 (7),0.97 (4),0.12 (7),0.07 (6),
328458,gymlab,35.13 (10),0.96 (10),0.13 (9),0.07 (7),
329833,xiajiyuan,35.80 (8),0.96 (9),0.13 (10),0.07 (8),
330987,jiangchengzhi,36.69 (6),0.96 (7),0.09 (5),0.07 (9),
331946,VLAB,35.78 (9),0.96 (8),0.12 (8),0.07 (10),
328414,GuNaYeong,32.41 (11),0.95 (11),0.16 (11),0.08 (11),
333178,SegonyeolKim,32.27 (12),0.94 (12),0.17 (12),0.10 (12),
326418,ChiHunn,29.61 (13),0.92 (13),0.25 (13),0.15 (13),
