submission_pk,User,b'Avg. of static/dynamic rank',b'Avg. overall cost',b'Avg. static cost',b'Avg. dynamic cost',b'Score (rank)'
217966,Kleopatra,1.0 (1),257065.20 (1),180639.60 (5),333490.80 (1),1.0 (1),
218022,NWouda,2.0 (2),259985.25 (2),180639.10 (4),339331.40 (2),2.0 (2),
218879,team_sb,3.0 (3),260927.85 (3),180686.60 (9),341169.10 (3),3.0 (3),
216728,FHildebrandt,4.0 (4),263385.95 (4),180677.00 (8),346094.90 (4),4.0 (4),
213911,HustSmart,5.0 (5),263891.00 (5),180799.30 (15),346982.70 (5),5.0 (5),
218040,HowToRoute,6.0 (6),264840.40 (6),180565.40 (2),349115.40 (6),6.0 (6),
217475,peterd,7.0 (7),265006.50 (7),180670.80 (7),349342.20 (7),7.0 (7),
207296,ghannam,8.0 (8),265844.30 (8),180728.30 (11),350960.30 (8),8.0 (8),
184299,mj,9.5 (9),266061.95 (9),180741.40 (14),351382.50 (10),9.5 (9),
208852,FL,10.0 (10),266203.10 (11),181119.90 (35),351286.30 (9),10.0 (10),
218733,FeiLIU,10.5 (11),266147.65 (10),180884.30 (29),351411.00 (11),10.5 (11),
218677,mtgbws,12.5 (12),266669.85 (12),180562.90 (1),352776.80 (13),12.5 (12),
219213,YanJIN,12.5 (13),266726.40 (13),180981.50 (33),352471.30 (12),12.5 (13),
215212,rmahes,14.0 (14),267005.65 (14),180824.50 (17),353186.80 (14),14.0 (14),
218899,kirchhoffslaw,15.0 (15),267009.30 (15),180575.10 (3),353443.50 (15),15.0 (15),
216590,quickest_route,16.0 (16),267305.65 (16),180686.60 (9),353924.70 (16),16.0 (16),
198243,kee,17.0 (17),267387.40 (17),180842.60 (20),353932.20 (17),17.0 (17),
215685,pumpkins,18.5 (18),267404.15 (18),180800.90 (16),354007.40 (19),18.5 (18),
175297,little_snow_ball,19.0 (19),267443.50 (20),180946.20 (31),353940.80 (18),19.0 (19),
176936,wenminggong,19.5 (20),267425.30 (19),180824.50 (17),354026.10 (20),19.5 (20),
168017,Lazy_Baseline,21.0 (21),267461.35 (21),180838.20 (18),354084.50 (21),21.0 (21),
194659,hq,22.0 (22),267632.40 (22),180852.90 (26),354411.90 (22),22.0 (22),
218961,ChiZhang,23.0 (23),267937.95 (23),180952.00 (32),354923.90 (23),23.0 (23),
218300,WYW,24.0 (24),268344.40 (24),181338.90 (37),355349.90 (24),24.0 (24),
190916,fnssm,25.5 (25),268951.30 (25),180700.30 (10),357202.30 (26),25.5 (25),
209645,lemlemlem,26.5 (26),269384.40 (26),180736.70 (13),358032.10 (27),26.5 (26),
212181,palitatha,27.5 (27),270894.20 (27),180843.00 (21),360945.40 (28),27.5 (27),
214474,chandler,28.5 (28),274621.60 (28),180842.60 (20),368400.60 (29),28.5 (28),
187846,ora,29.5 (29),275635.75 (29),180824.50 (17),370447.00 (30),29.5 (29),
219503,adith387,30.5 (30),278875.00 (30),180642.40 (6),377107.60 (31),30.5 (30),
177229,oldfriend,31.5 (31),281671.50 (31),180824.50 (17),382518.50 (32),31.5 (31),
170610,WFI,32.5 (32),284309.20 (32),180913.90 (30),387704.50 (33),32.5 (32),
208658,JunchuangCai,33.5 (33),285921.60 (33),180735.20 (12),391108.00 (34),33.5 (33),
171287,Andry,34.5 (34),285990.30 (34),180869.40 (28),391111.20 (35),34.5 (34),
181204,HUST,36.5 (35),286010.90 (35),180824.50 (17),391197.30 (38),36.5 (35),
189522,coderding,37.0 (36),286018.05 (36),180838.80 (19),391197.30 (38),37.0 (36),
174098,team_best_1,37.5 (37),286023.75 (37),180850.20 (25),391197.30 (38),37.5 (37),
162662,vrp_greedy_baseline,38.0 (38),286032.05 (38),180866.80 (27),391197.30 (38),38.0 (38),
219541,inboxedshoe,38.0 (39),50251151.45 (51),100146394.50 (38),355908.40 (25),38.0 (39),
200752,VeRSA,39.0 (40),286034.45 (39),180842.60 (20),391226.30 (39),39.0 (40),
184211,vrp_rl_baseline,39.0 (40),286034.45 (39),180842.60 (20),391226.30 (39),39.0 (40),
182561,learning4route,39.0 (40),286034.45 (39),180842.60 (20),391226.30 (39),39.0 (40),
219285,Aldin,39.0 (41),286074.75 (41),181024.90 (34),391124.60 (37),39.0 (41),
202585,Wang_Feilong,39.0 (42),286127.70 (42),181132.70 (36),391122.70 (36),39.0 (42),
195257,M_SM_2022,40.0 (43),286039.10 (40),180843.10 (22),391235.10 (40),40.0 (43),
219315,Pojtanut,42.0 (44),286593.40 (43),180842.60 (20),392344.20 (41),42.0 (44),
202156,wangzhiqi,43.0 (45),287162.35 (44),180852.90 (26),393471.80 (42),43.0 (45),
168984,lamy,44.0 (46),287167.30 (45),180847.60 (23),393487.00 (43),44.0 (46),
173034,bio,45.0 (47),296976.60 (46),180824.50 (17),413128.70 (44),45.0 (47),
178705,vrp_sl_baseline,46.0 (48),300268.05 (47),180838.80 (19),419697.30 (45),46.0 (48),
162658,vrp_random_baseline,47.0 (49),307683.65 (48),180838.80 (19),434528.50 (46),47.0 (49),
219311,TM,48.0 (50),340304.75 (49),180842.60 (20),499766.90 (47),48.0 (50),
162659,vrp_lazy_baseline,49.0 (51),368090.50 (50),180849.60 (24),555331.40 (48),49.0 (51),
194408,raritan,50.5 (52),1000000000.00 (52),1000000000.00 (39),1000000000.00 (49),50.5 (52),
