submission_pk,User,b'Accuracy',b'F1',b'Bleu_1',b'Bleu_2',b'Bleu_3',b'Bleu_4',b'Rouge_L',b'CIDEr',b'METEOR'
458134,TerenceCai,0.8870 (1),0.2757 (1),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
457901,noobyj,0.8339 (2),0.2141 (2),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
448734,test-user,0.5079 (3),0.1116 (3),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
448713,yueqianwang,0.5079 (3),0.1116 (3),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
