submission_pk,User,b'MASE_total',b'MASE_amount',b'MASE_count',b'MASE_ratio'
345333,surkov_evseev,0.0498 (1),0.0273 (1),0.0979 (1),0.0243 (1),
354976,WhiteWhite,0.1110 (2),0.0536 (2),0.2206 (2),0.0589 (3),
355030,fireee80,0.1657 (3),0.0536 (2),0.3848 (4),0.0589 (3),
337616,s231644,0.1863 (4),0.1382 (3),0.3620 (3),0.0588 (2),
353905,abegaev,0.8584 (5),0.6976 (4),0.8775 (5),1.0000 (4),
452363,podidiving,8368.2886 (6),0.9759 (5),1517.5396 (6),23586.3502 (5),
