submission_pk,User,b'Total',b'Test 1',b'Test 2',b'Test 3'
354402,ljv,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
353861,henriquedaponte,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
353622,zpr,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
353010,justinchung,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
352871,Rithwik,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
352490,connor,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
352027,rcheng,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
351900,christinetu,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
351139,sunnyhuang,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
351041,kagarwal939,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350994,sergioacolischavez,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350970,c_chan,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350869,daniellu,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350445,shialan,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350632,briggsrr,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350506,kevindeng,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350480,adampedersen,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350363,esarmstrong,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350298,yke,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350266,garretthu,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350220,firosi,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
350108,aaronsin,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349700,jinghanzhang,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349668,RyanVu,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349506,jessicalieu,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349418,dna,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349407,katyayani,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348971,Geivet,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349204,evannguyen,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349065,ec165,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349050,haoyuanli,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349019,sshivani02,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
349002,ningxia,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348989,irenecho,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348853,churd,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
