submission_pk,User,b'Organ DSC',b'Organ NSD',b'Tumor DSC',b'Tumor NSD'
490228,Anonymous,0.9054 (3),0.9592 (5),0.4691 (1),0.3990 (1),
491647,Anonymous,0.9035 (4),0.9568 (6),0.4538 (2),0.3860 (2),
493597,Anonymous,0.9147 (1),0.9626 (1),0.4497 (3),0.3816 (3),
492625,Anonymous,0.8553 (18),0.8996 (20),0.4449 (4),0.3656 (5),
493260,Anonymous,0.8996 (5),0.9503 (9),0.4388 (5),0.3643 (6),
494218,Anonymous,0.8995 (6),0.9534 (8),0.4335 (6),0.3694 (4),
494206,Anonymous,0.8995 (6),0.9534 (8),0.4335 (6),0.3694 (4),
494200,Anonymous,0.8995 (6),0.9534 (8),0.4335 (6),0.3694 (4),
493812,Anonymous,0.8995 (6),0.9534 (8),0.4335 (6),0.3694 (4),
492598,Anonymous,0.8540 (19),0.9086 (19),0.4277 (7),0.3325 (8),
460645,Anonymous,0.9061 (2),0.9559 (7),0.4233 (8),0.3403 (7),
493407,Anonymous,0.8926 (10),0.9598 (4),0.3712 (9),0.2741 (11),
493498,Anonymous,0.8938 (8),0.9609 (3),0.3682 (10),0.2776 (9),
455143,Anonymous,0.8246 (21),0.8762 (22),0.3551 (11),0.2722 (12),
494287,Anonymous,0.8942 (7),0.9610 (2),0.3460 (12),0.2764 (10),
494239,Anonymous,0.8781 (13),0.9330 (15),0.3052 (13),0.2251 (13),
481579,Anonymous,0.8408 (20),0.8914 (21),0.3016 (14),0.1976 (14),
490224,Anonymous,0.8666 (15),0.9335 (14),0.2638 (15),0.1686 (18),
492446,Anonymous,0.5431 (26),0.5870 (27),0.2519 (16),0.1427 (19),
494296,Anonymous,0.8693 (14),0.9359 (13),0.2495 (17),0.1820 (15),
491160,Anonymous,0.3438 (28),0.3494 (29),0.2357 (18),0.1707 (17),
493450,Anonymous,0.8805 (12),0.9459 (10),0.2240 (19),0.1300 (20),
494034,Anonymous,0.8937 (9),0.9446 (11),0.2199 (20),0.1718 (16),
491548,Anonymous,0.0138 (31),0.0138 (32),0.2155 (21),0.0979 (21),
489913,Anonymous,0.8938 (8),0.9391 (12),0.1662 (22),0.0807 (22),
451332,Anonymous,0.8581 (17),0.9192 (18),0.1057 (23),0.0459 (23),
477951,Anonymous,0.1304 (30),0.0989 (31),0.0674 (24),0.0228 (26),
493702,Anonymous,0.7475 (24),0.8071 (25),0.0658 (25),0.0344 (24),
492604,Anonymous,0.7044 (25),0.7486 (26),0.0536 (26),0.0280 (25),
491738,Anonymous,0.4318 (27),0.4222 (28),0.0387 (27),0.0091 (27),
480642,Anonymous,0.2725 (29),0.2719 (30),0.0139 (28),0.0027 (28),
493914,Anonymous,0.8662 (16),0.9235 (17),0.0000 (29),0.0000 (29),
492688,Anonymous,0.8176 (23),0.8555 (24),0.0000 (29),0.0000 (29),
488815,Anonymous,0.8220 (22),0.8652 (23),0.0000 (29),0.0000 (29),
449570,Anonymous,0.8879 (11),0.9310 (16),0.0000 (29),0.0000 (29),
