submission_pk,User,b'Score',b'AScore'
215996,voanhhao3830,13.00 (1),- (-),
216119,hungam,13.00 (1),- (-),
216153,duongvankhoa,12.20 (2),- (-),
216184,badger_team_x,11.80 (3),- (-),
216176,tiennt235,11.80 (3),- (-),
216147,BachNG,11.80 (3),- (-),
216173,magicjimmy,11.60 (4),- (-),
216203,hanhpm,11.40 (5),- (-),
216069,linhlpv,11.00 (6),- (-),
216101,dnsang,11.00 (6),- (-),
216127,Azone,11.00 (6),- (-),
216090,ExperiencedNewbies,11.00 (6),- (-),
216089,ToTuanAn,11.00 (6),- (-),
216175,UIT-RainbowShine,10.80 (7),- (-),
216150,uno2022,10.80 (7),- (-),
216105,homelander,10.80 (7),- (-),
216185,Dat09,10.60 (8),- (-),
216052,hbmduyen,10.40 (9),- (-),
216168,lechithinh,9.80 (10),- (-),
216151,UIT-GOogol,9.80 (10),- (-),
216128,hustboy,9.80 (10),- (-),
216115,sieunhanxyz147,9.80 (10),- (-),
216116,manhkhanhad,9.60 (11),- (-),
216179,hoaian1304,9.40 (12),- (-),
216154,HCMUS_CottonCandy,9.20 (13),- (-),
216103,tuandinh,9.20 (13),- (-),
216114,VeVe,9.00 (14),- (-),
216181,MiloLovers,8.80 (15),- (-),
216169,nero,8.80 (15),- (-),
216144,kien,8.60 (16),- (-),
216107,tlhbinhk12,8.60 (16),- (-),
215986,PhatTran,8.60 (16),- (-),
216058,tcp,8.40 (17),- (-),
216172,aic-Plato,8.00 (18),- (-),
216202,thangdt277,7.80 (19),- (-),
216174,TIUday,7.20 (20),- (-),
216045,huychohuy,6.80 (21),- (-),
215995,lTIPl,6.20 (22),- (-),
216201,ntkhang2003,5.60 (23),- (-),
216048,HCMUS-MagnumOpus,4.40 (24),- (-),
216186,Nhon,1.00 (25),- (-),
216118,RE201,0.00 (26),- (-),
216022,bqhung127,0.00 (26),- (-),
