submission_pk,User,b'F1-score'
148515,YaoGe1218,0.97 (1),
152226,sourabh.zanwar,0.78 (2),
148849,acandidato,0.78 (2),
148581,ltm11,0.00 (3),
149806,CompLx,0.00 (3),
148747,PaulTrust,0.00 (3),
