submission_pk,User,b'MAIN_SYS_SRCC',b'MAIN_UTT_MSE',b'MAIN_UTT_SRCC',b'MAIN_SYS_MSE',b'OOD_SYS_SRCC',b'OOD_UTT_MSE',b'OOD_UTT_SRCC',b'OOD_SYS_MSE'
55327,listen,0.939 (1),0.179 (3),0.894 (2),0.101 (5),0.952 (8),0.163 (2),0.895 (1),0.048 (2),
55351,weichengtseng,0.938 (2),0.187 (4),0.889 (5),0.091 (2),0.969 (5),0.210 (4),0.859 (5),0.070 (4),
55093,shinnosuke,0.936 (3),0.165 (1),0.897 (1),0.090 (1),0.979 (1),0.162 (1),0.893 (2),0.030 (1),
55098,xiaohaitian,0.935 (4),0.197 (6),0.890 (4),0.108 (9),0.956 (6),0.360 (14),0.837 (11),0.141 (13),
51903,jiameng,0.933 (5),0.242 (14),0.872 (11),0.098 (4),0.956 (6),0.285 (11),0.850 (8),0.132 (12),
55321,matousek,0.933 (6),0.171 (2),0.893 (3),0.095 (3),0.936 (9),0.254 (6),0.863 (4),0.107 (11),
52785,liangzc,0.931 (7),0.197 (7),0.884 (6),0.106 (7),0.930 (11),0.220 (5),0.852 (7),0.085 (6),
53358,dmx,0.930 (8),0.194 (5),0.884 (7),0.107 (8),0.975 (2),0.270 (9),0.857 (6),0.104 (9),
55185,smartlab,0.929 (9),0.213 (10),0.884 (8),0.130 (12),0.973 (3),0.189 (3),0.875 (3),0.054 (3),
53876,alergn,0.925 (10),0.205 (8),0.877 (10),0.116 (10),0.527 (14),3.619 (17),0.460 (16),3.393 (17),
55155,hearing,0.922 (11),0.238 (13),0.860 (15),0.143 (17),0.970 (4),0.719 (15),0.848 (10),0.538 (15),
51589,ecooper,0.921 (12),0.277 (17),0.869 (12),0.148 (18),0.975 (2),0.260 (7),0.849 (9),0.099 (8),
54793,ytachioka,0.918 (13),0.217 (11),0.866 (13),0.103 (6),0.516 (15),2.516 (16),0.429 (17),2.261 (16),
51575,Adrianastan,0.915 (14),0.208 (9),0.878 (9),0.122 (11),0.000 (16),100.000 (18),0.000 (18),100.000 (18),
55233,zxk,0.911 (15),0.220 (12),0.864 (14),0.134 (13),0.904 (13),0.261 (8),0.834 (12),0.107 (10),
55179,Kai_Li,0.911 (16),0.263 (15),0.838 (16),0.142 (15),0.000 (16),100.000 (18),0.000 (18),100.000 (18),
55377,readspeaker,0.906 (17),0.313 (19),0.829 (17),0.142 (16),0.000 (16),100.000 (18),0.000 (18),100.000 (18),
54573,koer,0.902 (18),0.276 (16),0.822 (18),0.137 (14),0.000 (16),100.000 (18),0.000 (18),100.000 (18),
55113,ryandhimas,0.900 (19),0.309 (18),0.811 (19),0.162 (19),0.954 (7),0.284 (10),0.806 (14),0.071 (5),
54735,DKU,0.890 (20),0.351 (21),0.806 (20),0.194 (21),0.000 (16),100.000 (18),0.000 (18),100.000 (18),
51245,wenchinhuang,0.873 (21),0.334 (20),0.785 (21),0.178 (20),0.934 (10),0.287 (12),0.787 (15),0.091 (7),
55363,oplatek,0.834 (22),0.414 (22),0.747 (23),0.249 (22),0.000 (16),100.000 (18),0.000 (18),100.000 (18),
50826,pmanocha,0.827 (23),0.442 (23),0.758 (22),0.253 (23),0.917 (12),0.334 (13),0.814 (13),0.163 (14),
55329,SaiSirishar,0.000 (24),100.000 (24),0.000 (24),100.000 (24),0.000 (16),100.000 (18),0.000 (18),100.000 (18),
