submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
182894,akkhan1871,- (1),0.4375 (1),0.4317 (4),0.4087 (3),0.3997 (1),- (-),
182827,raisumia,- (1),0.4345 (2),0.4614 (2),0.4154 (2),0.3987 (2),- (-),
182832,csecudsg,- (1),0.3988 (3),0.4407 (3),0.3817 (4),0.3933 (3),- (-),
178544,spock,- (1),0.3810 (4),0.5158 (1),0.4252 (1),0.3592 (4),- (-),
173238,tanfiona,- (1),0.0030 (5),0.0089 (5),0.0045 (5),0.2194 (5),- (-),
