submission_pk,User,b'Total GMV',b'Total ROI'
54361,xiaojianyang820,9052479.5138 (1),19.98 (2),
54400,JiawenLi,8890453.1761 (2),12.40 (6),
54362,freemanneo,8883953.4387 (3),15.16 (3),
54401,alanchguo,8871688.5961 (4),12.98 (5),
54584,CLL,8839340.6800 (5),13.14 (4),
54384,QingLi,8839183.3169 (6),12.24 (7),
54492,Star-Wisher,8824773.2832 (7),11.22 (8),
54643,jeomin,8739584.8753 (8),20.70 (1),
