submission_pk,User,b'Prediction score',b'Duration'
436097,HHuang,0.1481 (1),- (-),
442353,gkdx2,0.0467 (2),- (-),
426162,ChenxiCui,0.0162 (3),- (-),
423408,pakapro,0.0000 (4),- (-),
