submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'Parameters',b'Extra Data [1] / No Extra Data [0]'
72398,adityac8,29.04 (11),0.82 (14),0.21 (47),504854.00 (47),1.00 (1),
72197,jklovezhang,29.00 (31),0.82 (36),0.02 (7),376432.00 (24),1.00 (1),
72046,whu_tom,29.01 (24),0.82 (21),0.18 (43),452648.00 (43),1.00 (1),
71780,neptune,29.18 (3),0.82 (3),0.78 (54),1227587.00 (63),1.00 (1),
71689,zheng222,29.01 (23),0.82 (23),0.04 (19),375844.00 (23),1.00 (1),
71635,weihang93,28.96 (47),0.82 (50),0.06 (27),327312.00 (15),1.00 (1),
71493,zy170609,29.17 (4),0.82 (4),0.69 (53),1040000.00 (61),1.00 (1),
71475,liwa,29.00 (40),0.82 (29),0.03 (10),687100.00 (50),1.00 (1),
71466,kkfy,29.00 (38),0.82 (33),0.03 (12),317218.00 (14),1.00 (1),
71421,hhh123,29.00 (39),0.82 (32),0.04 (18),451880.00 (41),1.00 (1),
71425,Gaodd,28.93 (56),0.82 (56),0.24 (48),338928.00 (17),1.00 (1),
71211,zhouchenhui,29.00 (34),0.82 (40),0.02 (9),1295400.00 (64),1.00 (1),
71174,sunys,28.90 (63),0.82 (61),0.19 (44),503248.00 (46),1.00 (1),
70853,PlayHasNoLimits,29.01 (22),0.82 (32),0.10 (37),254865.00 (9),1.00 (1),
70710,lw1234,28.99 (41),0.82 (30),0.02 (2),687100.00 (50),1.00 (1),
70594,coco1020,28.97 (44),0.82 (41),0.09 (36),725239.00 (54),1.00 (1),
70442,YijianZhang,29.01 (25),0.82 (43),0.04 (20),406670.00 (29),1.00 (1),
69555,HatsuneMiku,28.94 (53),0.82 (58),0.02 (3),282688.00 (12),1.00 (1),
69282,NCEPU_Kevin,29.23 (2),0.82 (2),1.43 (56),911628.00 (58),1.00 (1),
69151,Usneek,27.29 (85),0.77 (84),0.10 (37),441568.00 (39),1.00 (1),
68511,Ssakura-go,27.96 (83),0.82 (62),0.08 (33),452048.00 (42),1.00 (1),
68506,LI_Zheyuan,29.01 (22),0.82 (32),0.05 (24),195122.00 (6),1.00 (1),
68503,ChengC,28.74 (68),0.81 (67),0.50 (51),945286.00 (59),1.00 (1),
68443,ShiruiHH,29.03 (16),0.82 (13),0.05 (21),380952.00 (26),1.00 (1),
67847,longfeiqi,28.91 (60),0.82 (54),0.05 (25),353568.00 (20),1.00 (1),
67384,Liuxx,29.00 (36),0.82 (37),0.03 (17),432100.00 (35),1.00 (1),
67341,AweWoo,28.92 (57),0.82 (55),0.07 (30),417216.00 (31),1.00 (1),
66908,tanwei0699,29.00 (29),0.82 (39),0.02 (5),560244.00 (48),1.00 (1),
66788,chengshen,28.91 (59),0.82 (57),0.10 (37),893936.00 (57),1.00 (1),
66584,lihb,29.10 (6),0.82 (7),0.30 (50),831831.00 (56),1.00 (1),
