submission_pk,User,b'Average IoU',b'Columns IoU',b'Doors IoU',b'Walls IoU',b'5cm Average F1',b'10cm Average F1',b'20cm Average F1',b'10cm Columns F1',b'10cm Doors F1',b'10cm Walls F1'
462307,yijiewu0710,0.431 (1),0.478 (1),0.473 (1),0.362 (1),0.470 (2),0.561 (2),0.638 (2),0.618 (3),0.588 (2),0.502 (3),
462341,duxinyi,0.379 (2),0.470 (2),0.459 (2),0.246 (2),0.475 (1),0.589 (1),0.668 (1),0.628 (2),0.627 (1),0.529 (2),
460274,admin_pc,0.257 (3),0.276 (4),0.260 (3),0.243 (3),0.408 (3),0.510 (3),0.581 (3),0.488 (5),0.496 (3),0.538 (1),
462399,mahdichamseddine,0.188 (4),0.315 (3),0.099 (4),0.204 (4),0.260 (5),0.350 (5),0.422 (5),0.638 (1),0.205 (5),0.331 (5),
462277,fkfm,0.130 (5),0.146 (5),0.088 (5),0.164 (5),0.132 (6),0.224 (6),0.351 (6),0.219 (6),0.176 (6),0.275 (6),
461301,pakapro,0.033 (6),0.038 (6),0.027 (6),0.037 (6),0.272 (4),0.386 (4),0.475 (4),0.506 (4),0.246 (4),0.458 (4),
