submission_pk,User,b'f1',b'Precision',b'Recall'
100183,pturon,0.7759 (1),0.80 (2),0.75 (2),
85009,hugojair,0.7604 (2),0.78 (3),0.74 (4),
103230,atnafu,0.7512 (3),0.77 (4),0.73 (5),
87264,Grx,0.7460 (4),0.74 (6),0.75 (3),
102945,erremesse,0.7443 (5),0.82 (1),0.68 (7),
96045,JuanCalderon,0.7391 (6),0.70 (8),0.78 (1),
374143,mgraffg,0.7214 (7),0.71 (7),0.73 (6),
488929,Juan_Guzman_Landa,0.7132 (8),0.76 (5),0.67 (8),
64994,LuisArellano,0.4739 (9),0.48 (9),0.47 (9),
102629,kelven,0.2591 (10),0.28 (10),0.24 (10),
