submission_pk,User,b'Task 1 Score',b'Task 2 Score',b'Task 3 Score'
443905,pughrob,0.9424 (1),0.7604 (1),0.4370 (1),
440631,aalgarra,0.9304 (2),0.7047 (2),0.2937 (2),
446361,tsjauhia,0.9053 (3),0.0000 (5),0.0000 (4),
452433,amunozo,0.8221 (4),0.1986 (4),0.0000 (4),
423502,luischir,0.7032 (5),0.4218 (3),0.2331 (3),
