submission_pk,User,b'mIoU',b'weight IoU',b'VC8',b'VC16'
445893,minbao,0.6595 (1),0.7514 (1),0.9108 (6),0.8783 (6),
441543,SiegeLion,0.6583 (2),0.7512 (2),0.9432 (1),0.9214 (1),
444223,csj,0.6484 (3),0.7395 (3),0.9198 (4),0.8903 (4),
444541,naicha,0.6475 (4),0.7388 (4),0.9168 (5),0.8868 (5),
451358,chenguanlin,0.6372 (5),0.7351 (5),0.8984 (8),0.8619 (7),
450373,SUtech,0.5889 (6),0.7097 (6),0.9336 (2),0.9041 (2),
445851,L-N,0.5543 (7),0.7019 (7),0.9250 (3),0.8938 (3),
445865,markdeep,0.5333 (8),0.6639 (9),0.8573 (11),0.8146 (11),
441701,khinchin,0.5212 (9),0.6786 (8),0.8781 (10),0.8357 (10),
198922,zongweiwu,0.4457 (10),0.6406 (10),0.8948 (9),0.8537 (9),
195807,sunguolei,0.4441 (11),0.6386 (11),0.8990 (7),0.8596 (8),
441877,mmmsf,0.3251 (12),0.5484 (12),0.7946 (12),0.7323 (12),
294984,miaomm,0.3251 (12),0.5484 (12),0.7946 (12),0.7323 (12),
