submission_pk,User,b'mAP@0.50',b'mAP@0.55',b'mAP@0.60',b'mAP@0.65',b'mAP@0.70',b'mAP@0.75',b'mAP@0.80',b'mAP@0.85',b'mAP@0.90',b'mAP@0.95',b'Avg.mAP'
176401,yptang,35.95 (1),33.48 (1),30.64 (1),27.89 (1),24.92 (1),21.78 (1),18.25 (1),14.25 (1),9.00 (1),3.52 (3),21.97 (1),
171805,linxt,28.55 (2),26.14 (2),23.78 (2),21.35 (2),18.67 (2),15.91 (2),12.85 (3),9.54 (4),5.93 (4),2.16 (4),16.49 (2),
176212,Strangelove,25.50 (3),23.58 (3),21.66 (3),19.46 (3),17.59 (3),15.70 (3),13.74 (2),11.35 (2),8.36 (2),4.25 (2),16.12 (3),
176095,xjgnqnl,21.58 (4),20.09 (4),18.70 (4),17.14 (4),15.66 (4),13.88 (4),12.13 (4),9.90 (3),7.67 (3),4.31 (1),14.11 (4),
171390,RenHuan,19.04 (5),16.94 (5),15.31 (5),13.58 (5),11.88 (5),10.18 (5),8.86 (5),7.10 (5),5.17 (5),2.08 (5),11.01 (5),
174565,JUN-HWA,15.83 (6),13.52 (6),11.42 (6),9.10 (6),7.19 (6),5.32 (6),3.81 (6),2.46 (6),1.25 (6),0.31 (6),7.02 (6),
175899,AIG,0.03 (7),0.03 (7),0.03 (7),0.02 (7),0.02 (7),0.02 (7),0.01 (7),0.01 (7),0.01 (7),0.00 (7),0.02 (7),
172238,yijiad,0.00 (8),0.00 (8),0.00 (8),0.00 (8),0.00 (8),0.00 (8),0.00 (8),0.00 (8),0.00 (8),0.00 (8),0.00 (8),
