submission_pk,User,b'PSNR(avg)',b'PSNR(real)',b'PSNR(synth)',b'SSIM(avg)',b'SSIM(real)',b'SSIM(synth)'
372259,salientman,32.7131 (1),33.3585 (1),32.0676 (1),0.94960 (1),0.95621 (6),0.94300 (1),
358168,jinkai,32.5701 (3),33.3076 (2),31.8326 (6),0.94910 (5),0.95708 (1),0.94113 (7),
370098,hesan,32.5573 (4),33.2649 (3),31.8498 (3),0.94931 (3),0.95677 (3),0.94186 (4),
369974,knight,32.5372 (7),33.2477 (4),31.8267 (7),0.94914 (4),0.95663 (4),0.94165 (5),
370170,dmlab,32.4313 (8),33.2404 (5),31.6222 (10),0.94846 (8),0.95593 (7),0.94098 (8),
370172,time,32.5421 (5),33.2354 (6),31.8487 (4),0.94935 (2),0.95678 (2),0.94193 (3),
368939,Subury,32.5934 (2),33.2334 (7),31.9533 (2),0.94900 (7),0.95572 (8),0.94229 (2),
368038,night2023,32.5379 (6),33.2306 (8),31.8452 (5),0.94909 (6),0.95659 (5),0.94159 (6),
347751,wentaochao,32.2937 (9),32.9597 (9),31.6278 (9),0.94678 (9),0.95391 (10),0.93964 (10),
365612,kimchange,32.2434 (10),32.9017 (10),31.5851 (11),0.94609 (13),0.95292 (12),0.93926 (12),
369233,Insis,32.1241 (14),32.8631 (11),31.3850 (14),0.94545 (14),0.95262 (15),0.93827 (14),
358519,HawkeyeGroup,32.1290 (12),32.8605 (12),31.3975 (13),0.94631 (12),0.95432 (9),0.93830 (13),
354017,Leslie2019,32.2373 (11),32.8367 (13),31.6378 (8),0.94652 (10),0.95285 (13),0.94018 (9),
332390,BITXW,32.0542 (15),32.7628 (14),31.3456 (15),0.94494 (15),0.95280 (14),0.93707 (15),
364431,AD13,32.1265 (13),32.7007 (15),31.5523 (12),0.94638 (11),0.95326 (11),0.93951 (11),
370989,richardson_chen,32.0060 (16),32.6925 (16),31.3196 (16),0.94415 (16),0.95174 (16),0.93657 (16),
358492,zengzekai,31.8320 (17),32.5294 (17),31.1346 (18),0.94306 (17),0.95076 (17),0.93536 (18),
315221,luni_chen,31.7508 (18),32.4192 (18),31.0823 (19),0.94227 (19),0.95010 (18),0.93444 (19),
320598,raspberry,31.6645 (20),32.3098 (19),31.0192 (20),0.94138 (20),0.94913 (19),0.93362 (20),
318439,jinwandalaohu,31.6645 (20),32.3098 (19),31.0192 (20),0.94138 (20),0.94913 (19),0.93362 (20),
339579,yeehengwang,31.7465 (19),32.2639 (20),31.2291 (17),0.94239 (18),0.94904 (20),0.93574 (17),
331469,Mobius,31.4821 (21),32.0421 (21),30.9221 (21),0.93971 (21),0.94652 (21),0.93291 (21),
363586,luobingchun,31.1693 (22),31.6093 (22),30.7293 (22),0.93676 (22),0.94313 (22),0.93038 (22),
