submission_pk,User,b'Prediction score',b'Duration'
83485,HanChen,0.0000 (1),0.00 (1),
83496,winterfell,0.0000 (1),0.00 (2),
82910,Lio,0.0000 (1),0.00 (3),
83063,leobryan,0.0000 (1),0.00 (4),
82882,JoyFang,0.0000 (1),0.00 (5),
82501,chinatelecom_cv,0.0000 (1),0.00 (6),
83609,jiachenlei,0.0000 (1),0.00 (7),
