submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
160527,chenmigongzuo,23.9444 (1),- (-),120.00 (21),0.00 (3),1.00 (1),
160006,YuZhu,23.8319 (2),- (-),540.20 (22),0.00 (3),0.00 (2),
167047,Libc,23.8035 (3),- (-),19.20 (20),0.00 (3),1.00 (1),
159215,jetblock,23.7964 (4),- (-),10.00 (18),0.00 (3),1.00 (1),
167009,jin1125,23.7412 (5),- (-),10.00 (18),0.00 (3),1.00 (1),
160230,haha,23.7403 (6),- (-),10.43 (19),1.00 (2),1.00 (1),
153497,xiaozhazha,23.7338 (7),- (-),0.10 (3),1050290.00 (1),1.00 (1),
160498,mingxi,23.7074 (8),- (-),10.43 (19),1.00 (2),1.00 (1),
160584,AlexZou,23.6695 (9),- (-),10.00 (18),0.00 (3),0.00 (2),
159412,deepernewbie,23.6549 (10),- (-),0.15 (4),0.00 (3),0.00 (2),
158976,ACALJJ32,23.6195 (11),- (-),-1.00 (1),-1.00 (4),-1.00 (3),
142842,lchia,23.6080 (12),- (-),10.43 (19),1.00 (2),0.00 (2),
150031,lqr,23.5913 (13),- (-),-1.00 (1),-1.00 (4),-1.00 (3),
155440,CUC,23.5809 (14),- (-),-1.00 (1),-1.00 (4),-1.00 (3),
147549,avengers,23.5685 (15),- (-),-1.00 (1),-1.00 (4),-1.00 (3),
157385,luodengyan,23.5290 (16),- (-),2.98 (15),0.00 (3),0.00 (2),
155202,joonheelee,23.5274 (17),- (-),0.76 (10),0.00 (3),0.00 (2),
153571,msc_1,23.5208 (18),- (-),2.50 (13),0.00 (3),0.00 (2),
157919,Una,23.4767 (19),- (-),0.21 (7),0.00 (3),0.00 (2),
132404,Spider-Man,23.4425 (20),- (-),0.00 (2),1.00 (2),0.00 (2),
140467,kuchbhi,23.3875 (21),- (-),0.20 (6),0.00 (3),0.00 (2),
160226,kh0002,23.3740 (22),- (-),0.37 (8),0.00 (3),1.00 (1),
158814,wyy,23.3657 (23),- (-),2.90 (14),0.00 (3),0.00 (2),
154349,lihb,23.3568 (24),- (-),1.50 (12),0.00 (3),0.00 (2),
141680,Liuhan,23.3537 (25),- (-),0.00 (2),0.00 (3),0.00 (2),
160543,DeepCamera,23.3531 (26),- (-),8.11 (17),1.00 (2),1.00 (1),
159707,asfajamil,23.3531 (26),- (-),8.05 (16),1.00 (2),1.00 (1),
129772,jzsherlock,23.3451 (27),- (-),0.73 (9),0.00 (3),0.00 (2),
158942,Juan,22.9158 (28),- (-),0.16 (5),0.00 (3),0.00 (2),
137847,nanashi,22.3551 (29),- (-),1.20 (11),1.00 (2),0.00 (2),
156118,RenYang,22.3413 (30),- (-),0.00 (2),1.00 (2),0.00 (2),
140771,thongbach,21.7515 (31),- (-),0.00 (2),1.00 (2),0.00 (2),
