submission_pk,User,b'COMET',b'BLEU',b'ROUGE-L-F1'
179112,Lifeng.Han,- (-),,,
172745,sahilmanchanda,- (-),,,
submission_pk,User,b'COMET',b'BLEU',b'ROUGE-L-F1'
179112,Lifeng.Han,- (-),,,
172745,sahilmanchanda,- (-),,,
submission_pk,User,b'COMET',b'BLEU',b'ROUGE-L-F1'
172745,sahilmanchanda,1.1198 (1),44.9706 (1),0.7480 (1),
179112,Lifeng.Han,0.9908 (2),40.7091 (2),0.7199 (2),
