submission_pk,User,b'Weighted B2'
441042,mcastro,0.8022 (1),
428463,aduque,0.7873 (2),
422278,joheras,0.7036 (3),
429972,mchizhik,0.6986 (4),
430936,matirojasg,0.6958 (5),
