submission_pk,User,b'Accuracy'
377087,kol-di,0.700 (1),
375981,Olenek,0.700 (1),
377311,bavasilev,0.690 (2),
377301,trinset,0.690 (2),
377289,tonyglebg,0.690 (2),
377222,Eliray,0.690 (2),
377048,alakeev,0.690 (2),
376644,xjt,0.690 (2),
375261,ranga519,0.690 (2),
377329,oliviamom,0.680 (3),
377283,EgorMozharov,0.680 (3),
377261,Gursoy_Efe,0.680 (3),
377154,marat_gilmutdinov,0.680 (3),
377046,skyman44,0.680 (3),
376933,slum,0.680 (3),
376903,danil231101,0.680 (3),
376071,xim0g,0.680 (3),
375634,AyyJimmeh,0.680 (3),
375316,Kukarkins,0.680 (3),
377253,arted2,0.670 (4),
377278,aaruts,0.670 (4),
377259,VeipsFil,0.670 (4),
376936,ZXCspectrum,0.670 (4),
377202,twfr,0.670 (4),
377187,ushakovsa,0.670 (4),
377169,ivanovskaya,0.670 (4),
377168,GlebL,0.670 (4),
377094,dimignatiev,0.670 (4),
377061,Liya,0.670 (4),
377042,AlekseevArtem,0.670 (4),
377034,Sharara_Nina,0.670 (4),
376959,amkotukhov,0.670 (4),
376929,Arhiburya,0.670 (4),
376851,arina,0.670 (4),
376779,theploy2212,0.670 (4),
376508,AnikaJha22,0.670 (4),
376261,pasha_pk1,0.670 (4),
375240,DanishMadhavan,0.670 (4),
373482,Raiden0456,0.670 (4),
373480,dominatrix666,0.670 (4),
372579,Viola,0.670 (4),
369444,ArtemKorotonozhkin,0.670 (4),
359241,Maximfishman,0.670 (4),
377319,tooHappy,0.660 (5),
377276,Kobylkin_Kirill,0.660 (5),
377221,dabashminova,0.660 (5),
377073,Clockwerkkk,0.660 (5),
377064,elbulm,0.660 (5),
354546,lsanochkin,0.660 (5),
376975,marybnikova,0.660 (5),
376905,lysanuik,0.660 (5),
373667,mariannakouis,0.660 (5),
357753,emila,0.660 (5),
377328,elvina,0.650 (6),
377179,yaxenia,0.650 (6),
377159,troitskyyy,0.650 (6),
373939,gzotov,0.650 (6),
375287,askaryangirov,0.640 (7),
377295,kodopp,0.450 (8),
376138,avzaytsev_2,0.380 (9),
