submission_pk,User,b'mIoU',b'completion'
487272,empress,36.7 (1),56.1 (4),
229623,SCPNet,36.7 (1),56.1 (4),
404216,jdgalviss,25.5 (2),59.8 (1),
284467,JM,24.2 (3),59.7 (2),
460858,yiningma,23.7 (4),58.5 (3),
487747,swwzn,23.4 (5),52.2 (7),
272439,CSTXBH,21.2 (6),53.5 (6),
411128,scpnet-pjlab,18.7 (7),30.6 (20),
486159,bohanli,17.5 (8),45.4 (9),
364032,Hailey,16.8 (9),50.9 (8),
296677,WeizhouLiu,15.9 (10),45.1 (10),
490181,HJLee,13.4 (11),43.2 (12),
350346,nuochen,13.4 (12),43.2 (11),
474593,wondervictor,13.0 (13),41.1 (14),
200471,Zonghao,12.6 (14),28.5 (21),
392032,YunpengZhang,12.4 (15),34.5 (17),
209581,luzonghao,12.0 (16),31.8 (19),
347299,guhuozai,11.9 (17),34.7 (16),
239155,yimingli9702,11.4 (18),42.4 (13),
225916,hhyyhh,11.3 (19),34.2 (18),
298827,ZehaoWang,9.1 (20),39.3 (15),
228484,yxiong,0.2 (21),56.0 (5),
