submission_pk,User,b'LSTQ',b'mAQ',b'mIoU'
361109,sborse3,67.8 (1),72.3 (1),63.5 (5),
344494,minghanz,67.0 (2),72.0 (2),62.4 (8),
205466,TMV3D,66.8 (3),65.7 (7),67.9 (1),
449840,Mask4D,64.3 (4),66.4 (5),62.2 (9),
227113,UniSeg,64.2 (5),67.5 (4),61.0 (10),
230048,LingdongKong,63.7 (6),67.6 (3),60.0 (13),
256203,rmarcuzzi,63.1 (7),65.7 (6),60.6 (12),
473684,Mva158,61.9 (8),60.9 (8),63.0 (6),
475942,KadirYilmaz,61.4 (9),57.8 (9),65.3 (2),
230300,xhhking,60.3 (10),57.8 (10),62.8 (7),
464083,AA250250,59.1 (11),54.5 (11),64.0 (4),
181072,zixuan_kk,55.6 (12),51.0 (12),60.6 (11),
478432,lsz,0.0 (13),0.0 (13),64.3 (3),
227350,whd001,0.0 (13),0.0 (13),41.1 (14),
