submission_pk,User,b'Mean joint error (procrustes alignment)',b'Mean joint error (scale and trans alignment)',b'Mean joint AUC (procrustes alignment)',b'Mean joint AUC (scale and trans alignment)',b'Mesh error (procrustes alignment)',b'Mesh error AUC (procrustes alignment)',b'F-score@5mm (procrustes alignment)',b'F-score@15mm (procrustes alignment)'
432246,skrskr,0.83 (1),1.99 (3),0.834 (14),0.636 (4),0.81 (1),0.838 (1),0.595 (3),0.969 (2),
352730,Handsformer_,0.83 (2),1.94 (1),0.834 (13),0.638 (3),0.82 (2),0.836 (2),0.603 (2),0.966 (3),
223926,HUnique,0.87 (3),15.39 (14),0.826 (12),0.070 (13),0.83 (3),0.834 (3),0.593 (4),0.964 (4),
168015,IPNet,0.88 (4),2.03 (4),0.825 (11),0.658 (1),0.84 (4),0.833 (4),0.605 (1),0.961 (5),
297667,cyc,0.88 (5),4.47 (9),0.823 (10),0.329 (9),0.87 (5),0.827 (5),0.556 (6),0.970 (1),
152652,cycbupt,0.91 (6),15.35 (13),0.818 (9),0.070 (12),0.89 (6),0.822 (6),0.560 (5),0.957 (6),
176582,Onami_Sola,1.03 (7),2.47 (5),0.795 (8),0.545 (6),0.99 (7),0.801 (7),0.527 (7),0.937 (7),
95258,bullet,1.09 (8),2.48 (6),0.785 (7),0.575 (5),5.44 (13),0.115 (13),0.000 (13),0.010 (13),
360316,ATAboukhadra,1.11 (9),1.98 (2),0.778 (6),0.647 (2),1.10 (8),0.781 (8),0.483 (8),0.927 (8),
372942,minglangma-tx,1.12 (10),3.13 (8),0.776 (5),0.476 (8),1.10 (9),0.780 (9),0.455 (10),0.926 (9),
324636,mallika,1.20 (11),3.10 (7),0.762 (4),0.497 (7),5.44 (13),0.115 (13),0.000 (13),0.010 (13),
379171,selfish,1.30 (12),6.98 (10),0.743 (3),0.196 (10),1.36 (12),0.731 (12),0.391 (12),0.911 (10),
160880,royyzh,4.54 (13),14.52 (12),0.230 (2),0.054 (14),1.28 (11),0.745 (11),0.403 (11),0.906 (11),
462843,zzs,4.54 (14),7.32 (11),0.228 (1),0.112 (11),1.28 (10),0.748 (10),0.472 (9),0.883 (12),
submission_pk,User,b'Mean joint error',b'Mean joint AUC',b'Mesh error',b'Mesh error AUC',b'F-score@5mm',b'F-score@15mm'
352730,Handsformer_,1.89 (1),0.644 (2),1.80 (1),0.660 (2),0.341 (3),0.827 (3),
168015,IPNet,1.93 (2),0.666 (1),1.94 (3),0.663 (1),0.426 (1),0.856 (1),
360316,ATAboukhadra,2.00 (3),0.637 (3),1.94 (4),0.645 (3),0.363 (2),0.831 (2),
432246,skrskr,2.01 (4),0.631 (4),1.93 (2),0.644 (4),0.320 (4),0.788 (4),
372942,minglangma-tx,3.15 (5),0.469 (5),3.04 (5),0.483 (6),0.225 (6),0.659 (5),
297667,cyc,4.50 (6),0.322 (6),4.31 (7),0.342 (7),0.148 (7),0.504 (7),
462843,zzs,7.48 (7),0.105 (7),3.74 (6),0.489 (5),0.237 (5),0.644 (6),
152652,cycbupt,15.36 (8),0.070 (8),14.84 (8),0.032 (8),0.030 (8),0.153 (8),
223926,HUnique,53.78 (9),0.000 (11),54.14 (9),0.000 (11),0.000 (11),0.000 (11),
324636,mallika,59.14 (10),0.000 (11),55.88 (10),0.000 (11),0.000 (11),0.000 (11),
95258,bullet,59.23 (11),0.000 (11),55.88 (10),0.000 (11),0.000 (11),0.000 (11),
160880,royyzh,74.06 (12),0.000 (9),74.45 (11),0.000 (9),0.000 (9),0.001 (9),
379171,selfish,80.92 (13),0.000 (11),80.54 (12),0.000 (11),0.000 (11),0.000 (11),
176582,Onami_Sola,83.48 (14),0.000 (10),82.96 (13),0.000 (10),0.000 (10),0.000 (10),
