submission_pk,User,b'AvgAccuracy'
100690,Tiktoker,0.5635 (1),
124970,USTC-IAT-United,0.5232 (2),
125421,zhanjw,0.5223 (3),
123942,baseline_cl,0.5205 (4),
122124,curry,0.5193 (5),
115936,fantasy9898,0.5186 (6),
122037,SolangKim,0.5183 (7),
123179,test22,0.5159 (8),
122094,hsansui,0.5156 (9),
116619,zhangteng,0.5147 (10),
124209,yier,0.5140 (11),
116691,Baseline-LA,0.5135 (12),
107700,u7355608,0.5130 (13),
121793,Levin,0.5120 (14),
102320,test_demo_xxp,0.5119 (15),
121092,Jin_Lim,0.5118 (16),
108638,seesee,0.5104 (17),
107548,fenght,0.5072 (18),
124230,egovi,0.5018 (19),
98106,GANsTER,0.5004 (20),
95250,NalRaZhou,0.4843 (21),
106861,oncelf,0.4822 (22),
93477,Fu-Yun,0.4749 (23),
102829,SCH,0.4740 (24),
122659,MercuryW,0.4719 (25),
101046,SCH--Team,0.4663 (26),
93097,zhoudw_nju,0.4609 (27),
88615,jaywzj,0.4561 (28),
112584,ethanhu,0.4448 (29),
91164,XyZhang,0.4301 (30),
104657,wyx,0.4249 (31),
98090,fishncycle,0.3861 (32),
91126,jwb,0.1826 (33),
88618,YUHENGFENG,0.0933 (34),
108670,xhzhang,0.0684 (35),
88609,Jingguang,0.0527 (36),
88614,pinna526,0.0421 (37),
