submission_pk,User,b'Accuracy@1'
395978,Mat_Skr,68.01 (1),
395911,notawhale,67.89 (2),
395352,toxicmopsic,67.81 (3),
394129,makovka,67.74 (4),
395753,exxxplainer,67.72 (5),
397226,sakura_ai,67.70 (6),
396118,_twinkle_,67.68 (7),
404508,nmorozov22,67.68 (8),
395756,vlasovroman,67.67 (9),
395887,SereginMihail,67.56 (10),
395725,AlexeyKotcov,67.53 (11),
395926,niksukhorukov,67.48 (12),
410101,LA,67.44 (13),
395135,MatyushinaZ,67.44 (13),
395740,TOOFACK,67.40 (14),
392851,wkpn,67.38 (15),
395861,bogchamp,67.38 (16),
395938,isaf27,67.35 (17),
395640,Mekan,67.35 (18),
397272,Emalk,67.33 (19),
395939,aayugay99,67.33 (19),
394565,IvanGurev,67.31 (20),
395467,lkuz_mik,67.29 (21),
395690,a.makhin,67.21 (22),
394338,saraevn,67.21 (23),
391276,zhilnikova,67.17 (24),
393982,sudarut,67.15 (25),
395966,MarcoOffidani,67.15 (26),
394492,mr6one,67.14 (27),
394488,katyanaveka,67.14 (27),
394248,lilnyan,67.14 (28),
395820,Vir_Ven,67.00 (29),
395833,art-bash,66.95 (30),
394348,BGDNick,66.95 (30),
396678,Nuzhnov_Mark,66.88 (31),
391580,rediska,66.87 (32),
394192,azelentsov,66.84 (33),
391312,JuliaKudryavtseva,66.82 (34),
403220,alexander_stepikin,66.81 (35),
397338,Nick,66.79 (36),
395783,zaaabik,66.77 (37),
394361,kisialiou,66.76 (38),
395967,nlp_user,66.70 (39),
393446,Bari,66.56 (40),
391287,UyenVo,66.23 (41),
396424,n9,66.23 (41),
395982,chomsky,65.16 (42),
396900,erdzhemadinov,63.88 (43),
395921,ziongo,63.17 (44),
395766,libraa,62.54 (45),
395802,GlebMazanov,62.24 (46),
399921,st_alex2902,31.25 (47),
389816,lilaspourpre,16.06 (48),
456105,pakapro,0.00 (49),
