submission_pk,User,b'MAP',b'MRR'
279653,Anastasiia.Batsheva,0.93 (1),0.95 (1),
279646,LaGrunje,0.79 (2),0.94 (2),
279698,luckyman28,0.40 (3),0.46 (3),
22653,NadezhdaAlsahanova,0.38 (4),0.45 (4),
22602,olya-const,0.33 (5),0.38 (5),
22096,inflover,0.33 (5),0.38 (5),
279695,niksukhorukov,0.33 (6),0.38 (6),
279578,kirakuznetsova,0.33 (6),0.38 (6),
278864,Vir_Ven,0.33 (6),0.38 (6),
11518,lilaspourpre,0.33 (6),0.38 (6),
22752,FALCON25000,0.32 (7),0.37 (8),
22369,AlexeyOlkhovikov_,0.32 (8),0.38 (7),
22196,albertSayapin,0.13 (9),0.15 (9),
22740,prosvirinKir,0.04 (10),0.05 (10),
23303,Egor_Zakharov,0.04 (11),0.05 (11),
22426,NikitaBaramiia,0.00 (12),0.00 (12),
280137,azelentsov,0.00 (13),0.00 (13),
22735,SergeyPetrakov,0.00 (13),0.00 (13),
22371,Andrei.Erofeev,0.00 (13),0.00 (13),
