submission_pk,User,b'AP',b'AP IoU=.50',b'AP IoU=.75',b'AP large',b'AP medium',b'AP small',b'AR large',b'AR max=1',b'AR max=10',b'AR max=100',b'AR medium',b'AR small'
407955,GangLi,0.56 (1),0.81 (1),0.62 (1),0.70 (2),0.59 (1),0.41 (1),0.84 (1),0.40 (1),0.66 (1),0.69 (1),0.72 (1),0.55 (1),
233262,BAAI,0.56 (2),0.80 (2),0.61 (2),0.72 (1),0.58 (2),0.36 (2),0.80 (3),0.39 (2),0.64 (2),0.67 (2),0.70 (3),0.54 (2),
353115,MasterBin-IIAU,0.52 (3),0.76 (3),0.57 (3),0.68 (3),0.56 (3),0.33 (3),0.82 (2),0.38 (3),0.62 (3),0.66 (3),0.70 (2),0.48 (3),
280772,zhangxgu_1,0.48 (4),0.73 (4),0.52 (4),0.64 (4),0.52 (4),0.30 (4),0.79 (4),0.37 (4),0.58 (4),0.62 (4),0.66 (4),0.43 (4),
373509,dishant_mewada,0.46 (5),0.69 (5),0.50 (5),0.60 (5),0.48 (5),0.27 (6),0.74 (6),0.35 (6),0.55 (6),0.57 (6),0.60 (6),0.39 (6),
309934,FPN_pp,0.45 (6),0.68 (6),0.50 (5),0.58 (7),0.48 (6),0.28 (5),0.74 (5),0.35 (5),0.56 (5),0.60 (5),0.63 (5),0.42 (5),
422783,leftthomas,0.42 (7),0.65 (7),0.46 (6),0.56 (8),0.45 (7),0.23 (7),0.72 (7),0.34 (7),0.52 (7),0.54 (7),0.59 (7),0.33 (7),
363607,Yuhuoo,0.38 (8),0.59 (8),0.41 (7),0.50 (9),0.40 (9),0.20 (8),0.68 (8),0.32 (8),0.49 (8),0.51 (8),0.55 (8),0.30 (8),
244537,huyunlong,0.36 (9),0.57 (9),0.39 (8),0.48 (12),0.38 (10),0.19 (9),0.66 (9),0.31 (9),0.48 (9),0.50 (9),0.53 (9),0.30 (9),
291646,shjiang,0.33 (10),0.56 (10),0.33 (9),0.43 (13),0.35 (11),0.17 (10),0.64 (10),0.28 (10),0.45 (10),0.47 (10),0.51 (10),0.28 (10),
383147,Cyn,0.31 (11),0.52 (11),0.32 (10),0.60 (6),0.43 (8),0.06 (17),0.60 (12),0.26 (12),0.39 (12),0.41 (12),0.43 (12),0.18 (13),
383084,Cynthiacode,0.31 (11),0.52 (11),0.32 (10),0.50 (10),0.32 (12),0.11 (12),0.60 (12),0.26 (12),0.39 (12),0.41 (12),0.43 (12),0.18 (13),
227097,slong,0.30 (12),0.49 (12),0.31 (11),0.48 (11),0.31 (13),0.10 (13),0.62 (11),0.28 (11),0.41 (11),0.43 (11),0.46 (11),0.19 (12),
223652,Ma-haoz,0.26 (13),0.47 (13),0.25 (14),0.36 (16),0.26 (14),0.11 (11),0.51 (14),0.24 (14),0.38 (13),0.40 (13),0.42 (13),0.25 (11),
230664,MaSiliang,0.25 (14),0.42 (15),0.26 (13),0.40 (15),0.26 (16),0.08 (14),0.53 (13),0.25 (13),0.35 (14),0.36 (14),0.39 (14),0.16 (14),
203356,ansh_kumar,0.25 (15),0.43 (14),0.26 (12),0.40 (14),0.26 (15),0.07 (15),0.47 (16),0.22 (15),0.30 (15),0.30 (15),0.33 (15),0.10 (16),
254441,solo-lac,0.16 (16),0.29 (16),0.16 (15),0.24 (17),0.17 (17),0.06 (16),0.47 (15),0.18 (16),0.29 (16),0.30 (16),0.31 (16),0.11 (15),
204537,shylove886366,0.08 (17),0.25 (17),0.04 (16),0.13 (18),0.09 (18),0.03 (18),0.33 (17),0.11 (17),0.19 (17),0.21 (17),0.21 (17),0.08 (17),
