submission_pk,User,b'Target Recall at top-K',b'Target AUC',b'Target AP',"b""Sentence-level Pearson's""",b'Sentence-level Spearman'
166760,IST-Unbabel,0.3652 (1),0.7756 (1),0.4903 (1),0.5590 (1),0.5532 (1),
168733,Abulice,0.2517 (2),0.6893 (2),0.3611 (2),0.3749 (3),0.4347 (3),
166174,fblain,0.1241 (3),0.5035 (3),0.2118 (3),-0.0486 (5),-0.0428 (5),
168753,hui,0.0892 (4),0.4968 (4),0.1214 (5),0.5016 (2),0.5011 (2),
166123,plkumjorn,0.0744 (5),0.4416 (5),0.1720 (4),0.3699 (4),0.4142 (4),
