submission_pk,User,b'AUC'
283095,disguer,0.8178 (1),
283172,GM,0.8167 (2),
282951,comecomeya,0.8166 (3),
283265,gaozhanfire,0.8163 (4),
283184,ZhiChunRoad,0.8134 (5),
266487,shijianmao,0.8075 (6),
280549,xieyang,0.8058 (7),
283240,michaelibrahim,0.8058 (8),
255685,shadowseeker,0.8039 (9),
260465,poniuniu,0.8020 (10),
283106,kusuri,0.7989 (11),
282066,Haoxin_Xu,0.7974 (12),
281655,USTC-IAT,0.7869 (13),
242288,jiny,0.7845 (14),
236170,recha,0.7820 (15),
277339,echo,0.7806 (16),
240729,muzinicemoon,0.7729 (17),
237064,dada,0.7662 (18),
278991,ashwini,0.7661 (19),
253513,Eura,0.7618 (20),
280661,JWNAM,0.7608 (21),
282588,LongxingTan,0.7463 (22),
283128,liufei,0.7411 (23),
279825,kaian0414,0.7411 (23),
278803,skipper,0.7411 (23),
240892,ZY2106308,0.7411 (23),
237369,ShengHui,0.7411 (23),
237079,ncguo,0.7411 (23),
225594,wongi_park,0.7411 (23),
204928,pykt-team,0.7411 (23),
277606,thanhthi,0.7411 (24),
282423,suhyunlee,0.7398 (25),
276302,daniel_taghive,0.7277 (26),
260454,FangLiu,0.6991 (27),
226324,YY-XMU,0.6935 (28),
277089,One-punch,0.6899 (29),
272453,bo-yu,0.6875 (30),
265238,CLLBJ16,0.6743 (31),
239986,Ya_Hi,0.6680 (32),
261918,buaapyj,0.6482 (33),
