submission_pk,User,b'mAP'
420421,USTC-IAT-United,94.95 (1),
420311,IPIU-XDU,94.73 (2),
420426,xa_ever,94.71 (3),
420362,HP,94.47 (4),
420354,eeee,94.02 (5),
420427,asdfz,94.00 (6),
420327,cccc,94.00 (7),
420035,BDD,93.68 (8),
419900,miaodq,93.68 (9),
418924,longpham3105,93.65 (10),
420157,PZH,93.61 (11),
420063,pangzihei,93.51 (12),
420414,zuoyi,93.32 (13),
420401,daoshihouky,93.26 (14),
420015,xdu_dehazeDetteam,93.04 (15),
419031,BingDwenDwen,93.02 (16),
420203,cthun,92.88 (17),
420380,dsadwe,92.87 (18),
420047,hhhhwhh,92.86 (19),
419745,wyndy,92.77 (20),
420077,PPAA,92.74 (21),
419380,u7355608,92.31 (22),
419106,lvboodvl,91.97 (23),
420337,dsasaa,91.72 (24),
420312,fdsdds,91.52 (25),
419507,wisdomXZ,91.42 (26),
420264,hui21060077a31,91.22 (27),
420240,haiyoufuli,91.06 (28),
419354,Charles,90.97 (29),
420018,mada,90.86 (30),
420271,BoxiongWu,90.80 (31),
419748,guochaochennwpu,90.74 (32),
420278,fordfuck,90.62 (33),
420272,forpenaurora,90.60 (34),
419656,xuehao,90.49 (35),
420258,fuze,90.45 (36),
420211,hubian,90.13 (37),
420189,hyddun,90.11 (38),
420175,jiangyixie,89.78 (39),
420163,laidaol,89.75 (40),
420146,lamycheappen,89.75 (40),
419980,penparker,89.41 (41),
419940,porschetodo1,89.24 (42),
419929,renaulw,89.14 (43),
419913,qlsnct,89.11 (44),
419890,schneider,88.91 (45),
419959,penpilot,88.82 (46),
419797,showmebenz,88.80 (47),
419728,lnyang,88.68 (48),
419755,subraae,88.62 (49),
419725,suoyouren,88.54 (50),
419694,uuyht,88.40 (51),
420128,ldrrer,88.39 (52),
419671,vlvdodo,88.30 (53),
419650,volkdown,88.30 (53),
419632,xiepode,88.26 (54),
420049,pashangshudong,88.23 (55),
419532,youci,88.20 (56),
419522,youzhe,88.20 (56),
420091,lingyigr,88.18 (57),
419499,yunsongdao,88.16 (58),
419487,pensailor,88.14 (59),
419476,JXX,88.14 (59),
419974,ljy,88.13 (60),
420109,lexusww,88.08 (61),
420070,paker,87.78 (62),
419443,hdl,87.75 (63),
419830,qiqi,87.56 (64),
419093,gcding,87.56 (65),
418838,bailanteam,87.27 (66),
420023,penmontblanc,86.80 (67),
419139,bbbb,85.29 (68),
420003,pelikan,84.57 (69),
419864,shitu,82.97 (70),
420403,hsansui,81.93 (71),
420381,ffff,81.93 (71),
419138,forhero,80.09 (72),
419268,ferria,77.10 (73),
419203,huixuanling,70.63 (74),
419034,IPIU-MC-Teens,41.03 (75),
418930,hanhai,0.00 (76),
