submission_pk,User,b'EER Global(%)',b'Execution time(ms)'
374617,qinxunhui,2.40 (1),2003.0 (5),
276565,JiajiaJiang,3.33 (2),2426.0 (4),
315903,giuseppe.stragapede,4.08 (3),2853.0 (2),
275799,BiDA-Lab,4.08 (3),2563.0 (3),
413110,BiDA,6.44 (4),3360.0 (1),
submission_pk,User,b'EER Global(%)',b'Execution time(ms)'
374617,qinxunhui,5.20 (1),2049.0 (4),
276565,JiajiaJiang,7.41 (2),2589.0 (1),
275799,BiDA-Lab,8.65 (3),2495.0 (2),
413110,BiDA,13.39 (4),2245.0 (3),
315903,giuseppe.stragapede,999.99 (5),0.0 (5),
submission_pk,User,b'ERR Global(%)',b'Execution time(ms)'
374617,qinxunhui,4.08 (1),2164.0 (4),
276565,JiajiaJiang,6.04 (2),2557.0 (1),
275799,BiDA-Lab,7.62 (3),2455.0 (2),
413110,BiDA,11.42 (4),2357.0 (3),
315903,giuseppe.stragapede,999.99 (5),0.0 (5),
