submission_pk,User,b'Score',b'AScore'
212288,Azone,5.00 (1),- (-),
212059,lnth263,5.00 (1),- (-),
211866,badger_team_x,5.00 (1),- (-),
211678,uno2022,5.00 (1),- (-),
211603,BachNG,5.00 (1),- (-),
211575,hanhpm,5.00 (1),- (-),
211523,magicjimmy,5.00 (1),- (-),
211503,Dat09,5.00 (1),- (-),
211367,lechithinh,5.00 (1),- (-),
211640,sieunhanxyz147,4.80 (2),- (-),
211940,thangdt277,4.60 (3),- (-),
211533,ToTuanAn,4.40 (4),- (-),
211271,Monica,4.40 (4),- (-),
212464,linhlpv,4.20 (5),- (-),
212246,hustboy,4.20 (5),- (-),
211436,toanhphat,4.20 (5),- (-),
211465,trthminh,4.20 (5),- (-),
212312,huychohuy,4.00 (6),- (-),
211896,tuannnnn,4.00 (6),- (-),
212515,dnsang,3.80 (7),- (-),
212509,tuandinh,3.80 (7),- (-),
212260,tlhbinhk12,3.80 (7),- (-),
212099,HCMUS-MagnumOpus,3.00 (8),- (-),
212382,duytuan,2.60 (9),- (-),
211611,hungam,2.60 (9),- (-),
211669,baobao,2.40 (10),- (-),
211429,trongan1407,1.40 (11),- (-),
212441,tiennt235,1.00 (12),- (-),
210845,sandman,1.00 (12),- (-),
210811,voanhhao3830,1.00 (12),- (-),
209619,MiloLovers,1.00 (12),- (-),
212505,lTIPl,0.80 (13),- (-),
212497,Nhon,0.80 (13),- (-),
212469,ntkhang2003,0.80 (13),- (-),
211438,TIUday,0.80 (13),- (-),
210852,homelander,0.80 (13),- (-),
210377,UIT-RainbowShine,0.60 (14),- (-),
212484,nero,0.00 (15),- (-),
212408,VeVe,0.00 (15),- (-),
212392,PhatTran,0.00 (15),- (-),
212340,ThuyNT,0.00 (15),- (-),
211585,Vinh,0.00 (15),- (-),
211409,hoaian1304,0.00 (15),- (-),
211315,ngohiep,0.00 (15),- (-),
210923,HoangLe,0.00 (15),- (-),
210778,USOFA,0.00 (15),- (-),
210356,shin22,0.00 (15),- (-),
210008,tcp,0.00 (15),- (-),
