submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
446525,haichuan,19.11 (63),0.58 (69),-1.00 (1),-1.00 (3),-1.00 (1),
372431,allthebest,21.07 (27),0.68 (25),-1.00 (1),-1.00 (3),-1.00 (1),
372381,Dehaze,20.63 (41),0.67 (39),-1.00 (1),-1.00 (3),-1.00 (1),
372362,lyhvtEE,20.95 (33),0.68 (27),-1.00 (1),-1.00 (3),-1.00 (1),
371967,kktomdehaze,21.07 (28),0.68 (26),-1.00 (1),-1.00 (3),-1.00 (1),
371748,xsourse,21.17 (21),0.62 (64),-1.00 (1),-1.00 (3),-1.00 (1),
371232,DH-AISP,19.25 (62),0.58 (70),-1.00 (1),-1.00 (3),-1.00 (1),
370593,XuefeiYin,18.59 (67),0.64 (60),-1.00 (1),-1.00 (3),-1.00 (1),
370447,N11,20.95 (35),0.68 (31),-1.00 (1),-1.00 (3),-1.00 (1),
370214,lightdehaze,20.73 (38),0.68 (33),-1.00 (1),-1.00 (3),-1.00 (1),
369446,ycc6,21.33 (16),0.71 (3),-1.00 (1),-1.00 (3),-1.00 (1),
366381,HaoqiangYang,21.42 (10),0.71 (1),-1.00 (1),-1.00 (3),-1.00 (1),
365879,omni_0,21.58 (5),0.69 (10),-1.00 (1),-1.00 (3),-1.00 (1),
361559,Yinwei_Wu,20.47 (46),0.64 (59),-1.00 (1),-1.00 (3),-1.00 (1),
361234,hepengfei,19.49 (60),0.68 (38),-1.00 (1),-1.00 (3),-1.00 (1),
361181,Routine,16.99 (71),0.52 (72),-1.00 (1),-1.00 (3),-1.00 (1),
360334,Anas,18.77 (66),0.67 (40),-1.00 (1),-1.00 (3),-1.00 (1),
336079,IMAGCX,20.48 (44),0.66 (50),-1.00 (1),-1.00 (3),-1.00 (1),
335463,Trung,20.71 (39),0.68 (30),-1.00 (1),-1.00 (3),-1.00 (1),
332299,SYSU-FVL-LIGHT,20.21 (52),0.65 (52),-1.00 (1),-1.00 (3),-1.00 (1),
327889,SimpleDehaze,21.14 (23),0.67 (47),-1.00 (1),-1.00 (3),-1.00 (1),
325162,ChenXiang,20.70 (40),0.67 (46),-1.00 (1),-1.00 (3),-1.00 (1),
315460,ChengzhiCao,9.52 (76),0.46 (75),-1.00 (1),-1.00 (3),-1.00 (1),
313140,fvasluianu,9.52 (76),0.46 (75),-1.00 (1),-1.00 (3),-1.00 (1),
387078,wwwj,21.26 (19),0.69 (14),9.00 (12),0.00 (2),0.00 (2),
386965,baixike,20.39 (48),0.68 (29),9.00 (12),0.00 (2),0.00 (2),
386954,bjfu,20.84 (37),0.69 (15),9.00 (12),0.00 (2),0.00 (2),
384952,YuanGao,21.13 (24),0.69 (13),3.80 (6),0.00 (2),0.00 (2),
372622,zhouh115,22.10 (1),0.70 (6),19.88 (15),0.00 (2),0.00 (2),
372617,ken103,21.57 (6),0.69 (11),8.00 (10),0.00 (2),0.00 (2),
370553,lillian,21.25 (20),0.69 (8),9.00 (12),0.00 (2),0.00 (2),
370367,wjh_0610,20.51 (43),0.66 (51),305.00 (18),1.00 (1),0.00 (2),
370353,onlycst,20.42 (47),0.57 (71),2.00 (4),0.00 (2),0.00 (2),
366875,ManHing,21.11 (26),0.65 (56),-1.00 (1),0.00 (2),0.00 (2),
365666,susan_24,21.54 (7),0.68 (35),-1.00 (1),0.00 (2),0.00 (2),
