submission_pk,User,b'AQ (all)',b'AQ (known)',b'AQ (unknown)',b'IoU@0.5 (all)',b'IoU@0.5 (known)',b'IoU@0.5 (unknown)',b'recall@0.5 (all)',b'recall@0.5 (known)',b'recall@0.5 (unknown)'
320979,WenbangDeng,0.852 (1),0.866 (1),0.793 (1),0.862 (1),0.877 (1),0.802 (1),0.921 (1),0.928 (1),0.895 (1),
62223,lucas.nunes,0.705 (2),0.741 (2),0.563 (2),0.722 (2),0.767 (2),0.546 (2),0.819 (2),0.873 (2),0.605 (2),
404007,oreochiz,0.670 (3),0.711 (3),0.511 (3),0.701 (3),0.757 (3),0.483 (3),0.789 (3),0.853 (3),0.539 (3),
253980,shapelim_lim,0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.000 (4),0.000 (4),
