submission_pk,User,b'Score',b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)'
377017,EdiMuskardin,0.1750089 (1),0.1562607 (1),118.0 (1),0.04500 (1),
418708,neuralchecker,0.2858219 (2),0.3767927 (2),118.0 (1),0.09700 (2),
375097,TAYSIR-Baseline,0.4090530 (3),0.5728363 (3),148.0 (2),0.16350 (4),
389689,r.hakimi,0.4118247 (4),0.5767563 (4),149.0 (3),0.16300 (3),
