submission_pk,User,b'recall@5'
361551,SijieZhu,0.88 (1),
475210,jinwoo,0.84 (2),
160977,changxinyuan.cxy,0.82 (3),
445406,izquierdo,0.80 (4),
90090,gberton,0.80 (5),
55489,sobremesa,0.77 (6),
203550,Jincheng2,0.77 (7),
203762,MAX-OTW3,0.76 (8),
198367,lijinchengECN,0.74 (9),
209064,Cheng,0.74 (10),
386379,qilongwu,0.74 (11),
449436,jiang_163,0.73 (12),
50490,lib2000,0.71 (13),
389298,LSL10,0.69 (14),
198262,Jincheng_LI,0.67 (15),
426076,haiyang_hit,0.51 (16),
