submission_pk,User,b'F-Score',b'F-Score (Edges)',b'MAE',b'RMSE',b'AbsRel',b'Edge Accuracy',b'Edge Completion'
362672,KaiCheng,17.4551 (1),9.5810 (6),4.0927 (1),8.1900 (10),21.7309 (1),2.9721 (7),25.4613 (19),
362330,ch977,16.2922 (2),9.7699 (4),4.4135 (4),7.7473 (4),23.1294 (5),2.7677 (4),14.8373 (12),
361333,wyx0821,16.2736 (3),9.7132 (5),4.4173 (6),7.7652 (5),23.0539 (3),2.7561 (3),15.0284 (13),
360501,cv_challenge,16.2734 (4),9.9432 (1),4.3791 (3),7.6859 (3),22.5851 (2),2.7396 (2),14.6210 (11),
361228,TKL2,15.7447 (5),8.5761 (12),4.4170 (5),7.6740 (2),26.1225 (7),3.3470 (19),15.3368 (14),
362631,tkl,15.4812 (6),8.8998 (7),4.5352 (8),7.8266 (8),26.7228 (8),3.5898 (22),8.6224 (6),
362216,XHZZB,15.1696 (7),9.7836 (3),4.7700 (10),8.0917 (9),27.4887 (10),3.0457 (9),9.1334 (7),
361979,shariqfarooq123,14.9186 (8),8.6456 (11),4.1595 (2),7.2846 (1),23.1079 (4),3.0945 (13),20.9053 (17),
323574,xiangmochu,14.8748 (9),8.6804 (10),4.5197 (7),7.7868 (6),25.1322 (6),3.2849 (16),19.8216 (16),
360556,zhangqidoit,14.8055 (10),9.8643 (2),4.9935 (12),8.2972 (11),27.8497 (12),2.9388 (6),5.0999 (2),
361744,waterch,13.5059 (11),7.7783 (19),6.1046 (23),11.1322 (25),40.7691 (26),3.7884 (29),7.8457 (4),
348697,yiyiyihahaha,13.3568 (12),7.8966 (18),8.1783 (29),16.2271 (33),60.7574 (31),3.4892 (20),19.0489 (15),
349314,jspenmar,13.3389 (13),8.4442 (13),4.8585 (11),8.4066 (12),29.2125 (14),3.7764 (28),22.9317 (18),
360716,stefan_liu,12.7890 (14),7.4311 (21),5.2138 (14),9.4489 (19),37.8994 (25),3.5940 (23),28.4697 (21),
343862,SadatH,12.7546 (15),8.3615 (15),5.9226 (22),9.5472 (22),33.6667 (21),3.6456 (24),7.8920 (5),
362703,libra,12.6647 (16),8.7047 (9),5.2133 (13),8.6021 (14),33.0273 (18),3.0574 (11),6.0305 (3),
341249,hwscut,12.6070 (17),7.6178 (20),5.6766 (20),9.4843 (21),32.4512 (17),3.7732 (27),52.0992 (27),
361787,zhichu99,12.4252 (18),8.4000 (14),5.3009 (18),8.7571 (18),27.6066 (11),3.0470 (10),36.7013 (24),
362746,Grank_AI,12.2841 (19),8.2812 (16),5.2592 (16),8.7212 (17),32.4409 (16),3.1315 (15),13.7735 (10),
362723,guangkai.xu,12.2266 (20),8.1115 (17),5.2177 (15),8.6431 (15),32.2801 (15),3.1133 (14),13.4044 (9),
353837,myungwoo,11.9198 (21),8.7790 (8),6.1772 (24),10.0414 (23),33.6017 (20),3.3151 (17),12.8393 (8),
343497,cqzhao,11.3626 (22),7.0863 (23),4.5972 (9),7.7928 (7),26.8587 (9),3.7564 (25),105.2160 (34),
361286,huangjiamian,11.2192 (23),7.1666 (22),5.3186 (19),8.5070 (13),33.3199 (19),2.9926 (8),30.2810 (22),
314593,Abhishek_SInha,10.6082 (24),6.7834 (25),5.2652 (17),8.7160 (16),29.1854 (13),3.7653 (26),77.1214 (32),
360357,wxw1314,10.3896 (25),6.8759 (24),5.8064 (21),9.4807 (20),34.1317 (22),3.5065 (21),56.6905 (29),
361989,LBJ,9.0491 (26),6.5179 (27),7.1007 (27),11.6999 (28),42.9818 (28),4.2477 (35),80.2837 (33),
351011,DepthIntelligence,8.7671 (27),6.5593 (26),6.8892 (26),11.2519 (26),35.0777 (23),3.0779 (12),56.2574 (28),
319884,mayunchao_megvii,8.2305 (28),6.0969 (29),8.3542 (31),14.8475 (30),58.1291 (30),2.7077 (1),41.3280 (25),
332159,huynhthaihoa,8.1625 (29),6.1107 (28),10.7783 (33),15.8730 (32),70.1361 (33),4.0063 (32),4.6793 (1),
363460,daysin1037,8.0292 (30),5.5382 (30),8.3087 (30),12.6892 (29),53.7431 (29),4.0350 (33),33.6677 (23),
364506,smhh,7.6118 (31),5.0440 (33),6.6618 (25),10.9336 (24),37.0829 (24),3.8437 (30),63.1853 (31),
354180,Suzally,6.5155 (32),5.4500 (32),10.4053 (32),14.9423 (31),63.3254 (32),3.3269 (18),41.9811 (26),
354209,Tutu,6.3092 (33),5.4767 (31),12.2382 (34),16.7931 (34),78.4034 (34),3.9172 (31),25.6739 (20),
341038,Sicks,6.0590 (34),4.8287 (34),7.4599 (28),11.6587 (27),41.3023 (27),4.1990 (34),120.6877 (35),
359402,dchan,4.0025 (35),3.8767 (35),13.6123 (35),18.6492 (35),102.1444 (35),2.9209 (5),58.2791 (30),
