submission_pk,User,b'score',b'Computation time'
171980,maze-rl,66.55 (1),3338.76 (14),
181333,richard_wth,57.96 (2),3315.73 (13),
180746,rhapsody,47.03 (3),2445.93 (11),
184878,Team_HRI,41.63 (4),4148.47 (15),
181324,David,26.42 (5),2309.92 (10),
239307,pavao,25.96 (6),2546.03 (12),
159313,L2RPN,22.09 (7),11.97 (6),
175541,qsrmlhj,12.40 (8),10.78 (5),
180028,xiaopengstyle,4.94 (9),160.97 (9),
180450,keithguofan,2.53 (10),5.42 (3),
181226,striver,0.00 (11),42.01 (7),
180337,tapan.shah,0.00 (11),100.70 (8),
179650,rpa,0.00 (11),1.15 (1),
165510,Aurora,0.00 (11),1.55 (2),
170003,CocoAuMelon,-9.92 (12),6.35 (4),
161162,idlecoder,-130.00 (13),99999.00 (16),
