submission_pk,User,b'correct'
399444,Terrance,80.8 (1),
398438,fried-chicken,75.5 (2),
399214,league,73.0 (3),
399240,MingWang,64.5 (4),
395309,ice_cream,62.5 (5),
398671,Li_qing,61.6 (6),
398187,luxu,60.4 (7),
388436,xiao_1,60.2 (8),
397801,cartes1us,58.3 (9),
396592,lagoon,58.2 (10),
399384,WBH,57.4 (11),
399413,carinditch,57.1 (12),
398865,Zekai,57.1 (12),
398702,yang1233,57.1 (12),
398983,double_t,56.3 (13),
398152,qinbaigao,55.4 (14),
388971,luka,54.4 (15),
392245,oliverck,54.4 (16),
392615,l13025816,54.3 (17),
398692,coffee__,54.2 (18),
399002,lwp,53.5 (19),
399380,xxw,53.1 (20),
399375,zongyi,52.0 (21),
399360,dashengge,51.7 (22),
399433,suyiyan1,50.1 (23),
397865,Greentor,50.1 (24),
396790,DTony,50.0 (25),
398727,Yukeliu,50.0 (25),
397890,WengYui,50.0 (25),
397797,pzj,50.0 (25),
397723,yly,50.0 (25),
397717,HYMA,50.0 (25),
397111,wulang,50.0 (25),
396983,wlw1234,50.0 (25),
396959,liuqi0219,50.0 (25),
396941,weilai,50.0 (25),
396930,zhangwei,50.0 (25),
396919,chenhongjie,50.0 (25),
396846,ZhaoXiyan-stu,50.0 (25),
396821,tanyi,50.0 (25),
396811,aojiaxin,50.0 (25),
396725,xiaoliuhenniu,50.0 (25),
396710,ouhao,50.0 (25),
393522,EthanIsAllYouNeed,50.0 (25),
393454,CQUPTChW,50.0 (25),
393419,xuejia,50.0 (25),
393345,hjf,50.0 (25),
399290,tuyuxian,49.4 (26),
398366,xiayufei,49.3 (27),
398351,Zhangweiwei,49.3 (27),
398348,renxu,49.3 (27),
399177,yyl,49.1 (28),
397692,kirito,49.0 (29),
398857,fcctg,49.0 (30),
398025,wdh,49.0 (30),
393693,AIG,48.9 (31),
398855,wxwx,48.8 (32),
398803,wangpengju,48.5 (33),
387256,Leeeung,48.2 (34),
399280,ChenYi,48.2 (35),
399116,tangtianyou,48.2 (35),
398768,dianzimuyu2,48.2 (35),
397730,DUAN,48.2 (35),
397503,FAKER666,48.2 (35),
395025,ZhangTianyu,48.2 (35),
394678,youfeng_ZHANG,48.2 (35),
393589,TenjeanJ,48.2 (35),
399247,FUrioso,48.0 (36),
397917,xiaguoxuan,47.2 (37),
399225,LuoSanJun_2,47.2 (38),
398916,joshua_su,47.2 (38),
399034,echocvf,47.1 (39),
399217,evilsp,47.0 (40),
399201,mistsink,47.0 (40),
398199,ztelliot,46.8 (41),
398262,RayleighZ,46.8 (42),
387421,zhengx,45.8 (43),
387474,phil,45.8 (44),
399171,CCCYYY,45.6 (45),
390587,hanyuanyuan,45.6 (45),
388057,Yanderbo,45.6 (45),
387251,trans,45.6 (45),
399311,Cc2020214,45.6 (46),
399304,PeipeiSong,45.6 (46),
399286,lllyh,45.6 (46),
399170,YuanfengLu,45.6 (46),
399158,zykkk,45.6 (46),
399045,tangqazu,45.6 (46),
389349,My0727,45.6 (46),
398682,YangHaiFan,45.6 (46),
398311,husong,45.6 (46),
397964,tangyax,45.6 (46),
397747,SYX,45.6 (46),
397546,cquptzzz,45.6 (46),
397506,zeger,45.6 (46),
397056,Black,45.6 (46),
397050,WANGJIEQAQ,45.6 (46),
397033,cxy2020214647,45.6 (46),
396974,pdd020508,45.6 (46),
396863,JS174478,45.6 (46),
396763,sadas,45.6 (46),
396723,ko1sh1,45.6 (46),
396715,bjohg,45.6 (46),
396756,LiZhaoXing,45.6 (46),
396666,zhangmazi,45.6 (46),
396664,tang123456789,45.6 (46),
395571,L.X,45.6 (46),
395443,xqr123456,45.6 (46),
395427,ETION,45.6 (46),
393844,DengZheKai,45.6 (46),
393673,ZhangYouwei,45.6 (46),
393500,liuyubo,45.6 (46),
393426,AIexplore,45.6 (46),
393423,whai,45.6 (46),
393335,Emilia,45.6 (46),
392712,Wdx_ch,45.6 (46),
392529,walking-time,45.6 (46),
392454,drh,45.6 (46),
392423,kogami,45.6 (46),
392396,lixinyu2020214330,45.6 (46),
392395,CKY526,45.6 (46),
392394,Nefenheim,45.6 (46),
392354,limingjian,45.6 (46),
392320,Vrrr,45.6 (46),
392297,Dd,45.6 (46),
391875,zbr,45.6 (46),
390920,sbljsc,45.6 (46),
389664,shyshy,45.6 (46),
389661,xzyxzy,45.6 (46),
389611,c_c,45.6 (46),
389472,Moumou,45.6 (46),
389275,yanyang,45.6 (46),
389341,lihaoyu,45.6 (46),
389324,lin32,45.6 (46),
389326,ZengJingchao,45.6 (46),
389330,wuxinhai,45.6 (46),
389303,lideyi,45.6 (46),
389344,PxrpleSxn,45.6 (46),
389325,mtkona,45.6 (46),
389279,hello-world,45.6 (46),
389161,lq,45.6 (46),
388212,Miao,45.6 (46),
388074,QS,45.6 (46),
387512,ZhangWenhao,45.6 (46),
391059,wvv,43.6 (47),
390886,zhku,42.3 (48),
396657,cquptzw,41.2 (49),
388487,chole_22,35.3 (50),
399400,thunder,33.8 (51),
399027,Tiffany0000,33.7 (52),
399035,shuaizhao1,33.5 (53),
398252,fame0404,33.3 (54),
399314,kryshock,32.9 (55),
398979,Avengers222,29.2 (56),
392228,of,28.6 (57),
399229,ZMily,11.8 (58),
399302,Lair,0.1 (59),
398967,zzj,0.1 (59),
392556,gan66638,0.1 (59),
