submission_pk,User,b'RMSE_MAPPED',b'RMSE'
144009,jvladika,0.324 (1),0.401 (3),
143990,amsqr,0.326 (2),0.361 (1),
144365,sjfxm,0.372 (3),0.427 (4),
144311,manschuetz,0.390 (4),0.395 (2),
140154,Andreas_Blombach,0.401 (5),0.445 (7),
144289,bogdankostic,0.411 (6),0.427 (4),
144753,hamster,0.412 (7),0.430 (5),
142994,jakel101,0.426 (8),0.432 (6),
139493,WiebkeP,0.442 (9),0.500 (11),
144143,pblan,0.450 (10),0.473 (10),
140095,qu.lab,0.453 (11),0.462 (8),
142856,LGirrbach,0.457 (12),0.466 (9),
142936,rstodden,0.485 (13),3.886 (13),
143831,hsc,0.497 (14),0.525 (12),
